MaNV,NgayThang,PhongBan,ChucDanh,Cluster,TargetNghiViec
130,2025-01-01,Marketing,Digital Marketing Specialist,1,0
131,2025-01-01,Sales,Sales Executive,0,0
136,2025-01-01,Sales,Sales Executive,1,0
138,2025-01-01,Sales,Sales Executive,1,0
139,2025-01-01,Sales,Sales Representative,1,0
140,2025-01-01,Human Resources,HR Executive,1,0
143,2025-01-01,Operations,Procurement Specialist,2,0
146,2025-01-01,Finance,Internal Auditor,2,0
149,2025-01-01,Human Resources,Recruiter,1,0
151,2025-01-01,Information Technology,Software Engineer,0,0
152,2025-01-01,Human Resources,HR Manager,1,0
153,2025-01-01,Marketing,Digital Marketing Specialist,1,0
158,2025-01-01,Information Technology,Data Analyst,1,0
161,2025-01-01,Sales,Sales Representative,0,1
162,2025-01-01,Marketing,Content Specialist,1,0
166,2025-01-01,Information Technology,QA Engineer,0,0
167,2025-01-01,Marketing,Digital Marketing Specialist,1,1
170,2025-01-01,Operations,Procurement Specialist,0,0
171,2025-01-01,Sales,Sales Representative,2,0
175,2025-01-01,Information Technology,Data Analyst,1,0
176,2025-01-01,Information Technology,Software Engineer,1,0
178,2025-01-01,Sales,Sales Supervisor,1,0
180,2025-01-01,Marketing,Marketing Manager,1,0
181,2025-01-01,Information Technology,IT Support,1,0
182,2025-01-01,Sales,Sales Supervisor,3,0
184,2025-01-01,Marketing,Content Specialist,2,0
185,2025-01-01,Marketing,Content Specialist,0,0
187,2025-01-01,Finance,Accountant,1,0
189,2025-01-01,Finance,Financial Analyst,1,0
190,2025-01-01,Sales,Sales Representative,1,0
192,2025-01-01,Operations,Procurement Specialist,1,0
193,2025-01-01,Information Technology,Data Analyst,1,0
194,2025-01-01,Finance,Financial Analyst,0,0
195,2025-01-01,Information Technology,QA Engineer,1,0
198,2025-01-01,Finance,Finance Manager,0,0
199,2025-01-01,Information Technology,IT Support,0,0
200,2025-01-01,Operations,Warehouse Supervisor,1,0
201,2025-01-01,Information Technology,IT Support,0,0
205,2025-01-01,Operations,Operations Manager,1,0
206,2025-01-01,Information Technology,QA Engineer,1,0
210,2025-01-01,Sales,Sales Executive,1,0
211,2025-01-01,Finance,Financial Analyst,2,0
213,2025-01-01,Sales,Sales Supervisor,1,0
216,2025-01-01,Operations,Operations Executive,3,0
218,2025-01-01,Information Technology,IT Support,1,0
219,2025-01-01,Finance,Internal Auditor,0,0
222,2025-01-01,Sales,Sales Executive,3,0
223,2025-01-01,Marketing,Digital Marketing Specialist,2,0
224,2025-01-01,Operations,Warehouse Supervisor,2,0
228,2025-01-01,Information Technology,Data Analyst,0,0
229,2025-01-01,Human Resources,C&B Specialist,3,0
233,2025-01-01,Sales,Account Manager,0,0
234,2025-01-01,Finance,Accountant,0,0
236,2025-01-01,Marketing,Content Specialist,0,0
237,2025-01-01,Operations,Operations Manager,3,1
238,2025-01-01,Human Resources,HR Manager,2,0
241,2025-01-01,Finance,Internal Auditor,1,0
244,2025-01-01,Marketing,Marketing Executive,0,1
245,2025-01-01,Finance,Finance Manager,0,0
249,2025-01-01,Marketing,Marketing Executive,1,0
250,2025-01-01,Marketing,Marketing Executive,1,1
252,2025-01-01,Information Technology,Data Analyst,1,0
253,2025-01-01,Sales,Sales Representative,2,0
255,2025-01-01,Sales,Sales Executive,2,1
257,2025-01-01,Sales,Sales Executive,1,0
259,2025-01-01,Sales,Sales Representative,1,0
262,2025-01-01,Operations,Operations Manager,3,1
268,2025-01-01,Information Technology,QA Engineer,3,0
272,2025-01-01,Sales,Account Manager,2,0
273,2025-01-01,Human Resources,Recruiter,1,0
275,2025-01-01,Information Technology,IT Support,1,0
277,2025-01-01,Operations,Operations Manager,0,0
278,2025-01-01,Marketing,Marketing Manager,2,0
282,2025-01-01,Marketing,Marketing Manager,1,0
284,2025-01-01,Finance,Finance Manager,2,0
285,2025-01-01,Finance,Financial Analyst,0,0
286,2025-01-01,Sales,Account Manager,2,0
288,2025-01-01,Sales,Sales Executive,1,0
289,2025-01-01,Human Resources,Recruiter,1,0
290,2025-01-01,Information Technology,QA Engineer,1,1
296,2025-01-01,Finance,Financial Analyst,1,0
298,2025-01-01,Human Resources,HR Manager,1,0
299,2025-01-01,Marketing,Marketing Manager,1,0
302,2025-01-01,Operations,Operations Manager,1,1
304,2025-01-01,Information Technology,Data Analyst,2,0
309,2025-01-01,Operations,Operations Executive,1,1
310,2025-01-01,Marketing,Content Specialist,1,0
311,2025-01-01,Marketing,Marketing Manager,2,0
314,2025-01-01,Human Resources,Recruiter,0,0
321,2025-01-01,Information Technology,System Administrator,1,0
323,2025-01-01,Operations,Warehouse Supervisor,1,0
330,2025-01-01,Information Technology,System Administrator,1,0
331,2025-01-01,Marketing,Marketing Executive,0,0
332,2025-01-01,Operations,Operations Manager,3,0
335,2025-01-01,Information Technology,Data Analyst,1,0
338,2025-01-01,Marketing,Marketing Manager,1,0
339,2025-01-01,Finance,Finance Manager,1,0
341,2025-01-01,Information Technology,Data Analyst,2,0
346,2025-01-01,Sales,Sales Supervisor,0,0
347,2025-01-01,Marketing,Digital Marketing Specialist,1,0
351,2025-01-01,Finance,Financial Analyst,1,0
353,2025-01-01,Sales,Sales Executive,1,0
354,2025-01-01,Sales,Sales Representative,0,0
356,2025-01-01,Information Technology,Data Analyst,1,0
365,2025-01-01,Information Technology,Software Engineer,1,0
366,2025-01-01,Operations,Operations Executive,1,0
367,2025-01-01,Marketing,Content Specialist,1,0
368,2025-01-01,Operations,Warehouse Supervisor,1,0
371,2025-01-01,Marketing,Content Specialist,2,0
372,2025-01-01,Finance,Financial Analyst,0,0
374,2025-01-01,Sales,Sales Representative,1,0
378,2025-01-01,Human Resources,HR Executive,0,0
379,2025-01-01,Finance,Internal Auditor,1,0
380,2025-01-01,Finance,Financial Analyst,1,0
384,2025-01-01,Human Resources,Recruiter,1,0
385,2025-01-01,Operations,Warehouse Supervisor,2,0
387,2025-01-01,Operations,Warehouse Supervisor,1,0
388,2025-01-01,Human Resources,HR Manager,1,0
389,2025-01-01,Marketing,Content Specialist,2,0
391,2025-01-01,Information Technology,IT Support,3,0
394,2025-01-01,Finance,Financial Analyst,0,0
395,2025-01-01,Human Resources,Recruiter,2,1
402,2025-01-01,Sales,Sales Representative,0,0
405,2025-01-01,Information Technology,Software Engineer,0,0
406,2025-01-01,Human Resources,C&B Specialist,1,0
408,2025-01-01,Operations,Operations Manager,1,0
411,2025-01-01,Human Resources,HR Manager,0,0
413,2025-01-01,Human Resources,HR Manager,1,0
414,2025-01-01,Sales,Sales Executive,2,0
418,2025-01-01,Information Technology,Software Engineer,1,0
419,2025-01-01,Finance,Internal Auditor,1,0
423,2025-01-01,Finance,Internal Auditor,1,0
424,2025-01-01,Marketing,Marketing Executive,1,0
431,2025-01-01,Finance,Financial Analyst,1,0
433,2025-01-01,Sales,Sales Supervisor,1,0
434,2025-01-01,Human Resources,Recruiter,0,0
435,2025-01-01,Finance,Internal Auditor,0,0
436,2025-01-01,Sales,Account Manager,1,0
437,2025-01-01,Finance,Accountant,3,0
438,2025-01-01,Marketing,Digital Marketing Specialist,2,0
444,2025-01-01,Human Resources,C&B Specialist,1,0
447,2025-01-01,Marketing,Marketing Manager,2,0
448,2025-01-01,Marketing,Digital Marketing Specialist,1,0
450,2025-01-01,Marketing,Content Specialist,3,0
451,2025-01-01,Marketing,Content Specialist,0,1
454,2025-01-01,Information Technology,QA Engineer,1,0
459,2025-01-01,Information Technology,IT Support,1,0
460,2025-01-01,Marketing,Digital Marketing Specialist,2,0
464,2025-01-01,Information Technology,Software Engineer,0,0
467,2025-01-01,Finance,Financial Analyst,2,0
469,2025-01-01,Sales,Sales Supervisor,2,0
477,2025-01-01,Sales,Sales Representative,1,0
479,2025-01-01,Information Technology,QA Engineer,2,0
480,2025-01-01,Information Technology,QA Engineer,1,0
481,2025-01-01,Human Resources,HR Executive,1,0
482,2025-01-01,Human Resources,Recruiter,2,1
483,2025-01-01,Information Technology,Software Engineer,2,0
488,2025-01-01,Operations,Operations Executive,0,0
489,2025-01-01,Information Technology,Software Engineer,3,0
490,2025-01-01,Finance,Internal Auditor,0,0
491,2025-01-01,Human Resources,HR Manager,1,0
492,2025-01-01,Human Resources,Recruiter,1,1
494,2025-01-01,Operations,Operations Manager,1,0
495,2025-01-01,Operations,Warehouse Supervisor,3,0
497,2025-01-01,Sales,Sales Representative,1,0
499,2025-01-01,Information Technology,Data Analyst,2,0
501,2025-01-01,Sales,Sales Representative,0,0
505,2025-01-01,Finance,Accountant,1,0
508,2025-01-01,Operations,Procurement Specialist,3,0
515,2025-01-01,Operations,Operations Executive,1,1
518,2025-01-01,Information Technology,Data Analyst,1,0
527,2025-01-01,Human Resources,HR Manager,0,0
529,2025-01-01,Human Resources,HR Manager,0,1
530,2025-01-01,Operations,Operations Executive,1,0
532,2025-01-01,Human Resources,C&B Specialist,2,0
533,2025-01-01,Marketing,Digital Marketing Specialist,1,0
542,2025-01-01,Human Resources,Recruiter,0,0
543,2025-01-01,Marketing,Digital Marketing Specialist,0,0
547,2025-01-01,Operations,Procurement Specialist,0,0
549,2025-01-01,Human Resources,HR Manager,0,0
550,2025-01-01,Human Resources,HR Manager,0,0
552,2025-01-01,Sales,Sales Supervisor,0,0
553,2025-01-01,Marketing,Content Specialist,2,1
555,2025-01-01,Marketing,Marketing Executive,1,0
561,2025-01-01,Operations,Procurement Specialist,1,0
562,2025-01-01,Marketing,Marketing Executive,1,1
563,2025-01-01,Marketing,Digital Marketing Specialist,1,0
564,2025-01-01,Operations,Operations Executive,1,0
565,2025-01-01,Operations,Warehouse Supervisor,0,0
567,2025-01-01,Human Resources,C&B Specialist,1,0
568,2025-01-01,Operations,Procurement Specialist,0,0
575,2025-01-01,Human Resources,Recruiter,1,0
583,2025-01-01,Human Resources,Recruiter,0,0
584,2025-01-01,Finance,Accountant,1,0
585,2025-01-01,Finance,Internal Auditor,1,0
586,2025-01-01,Human Resources,HR Manager,1,1
589,2025-01-01,Human Resources,Recruiter,1,0
590,2025-01-01,Information Technology,Data Analyst,0,0
591,2025-01-01,Finance,Finance Manager,1,0
593,2025-01-01,Marketing,Content Specialist,0,0
595,2025-01-01,Human Resources,HR Manager,0,0
598,2025-01-01,Information Technology,Data Analyst,2,0
599,2025-01-01,Operations,Operations Manager,3,0
600,2025-01-01,Finance,Internal Auditor,1,0
602,2025-01-01,Human Resources,HR Manager,1,0
607,2025-01-01,Sales,Sales Executive,0,0
608,2025-01-01,Human Resources,HR Executive,1,0
610,2025-01-01,Sales,Account Manager,1,0
611,2025-01-01,Information Technology,QA Engineer,3,0
612,2025-01-01,Operations,Operations Executive,1,0
613,2025-01-01,Sales,Account Manager,0,0
614,2025-01-01,Operations,Operations Executive,1,0
615,2025-01-01,Information Technology,IT Support,1,1
616,2025-01-01,Marketing,Content Specialist,2,0
618,2025-01-01,Human Resources,HR Manager,1,0
619,2025-01-01,Marketing,Content Specialist,0,0
622,2025-01-01,Information Technology,IT Support,1,0
624,2025-01-01,Operations,Warehouse Supervisor,1,0
626,2025-01-01,Finance,Accountant,0,0
631,2025-01-01,Finance,Finance Manager,1,0
632,2025-01-01,Information Technology,Data Analyst,1,0
633,2025-01-01,Finance,Accountant,0,0
636,2025-01-01,Sales,Account Manager,1,0
637,2025-01-01,Information Technology,IT Support,0,0
638,2025-01-01,Finance,Accountant,1,0
639,2025-01-01,Human Resources,Recruiter,1,0
641,2025-01-01,Operations,Operations Manager,2,0
642,2025-01-01,Information Technology,Software Engineer,1,0
644,2025-01-01,Finance,Accountant,0,0
646,2025-01-01,Finance,Financial Analyst,1,0
647,2025-01-01,Marketing,Marketing Manager,3,0
648,2025-01-01,Operations,Warehouse Supervisor,1,1
649,2025-01-01,Sales,Sales Representative,1,1
650,2025-01-01,Finance,Financial Analyst,1,0
651,2025-01-01,Operations,Procurement Specialist,3,1
652,2025-01-01,Sales,Sales Supervisor,1,0
653,2025-01-01,Sales,Sales Representative,1,0
659,2025-01-01,Sales,Sales Executive,2,0
661,2025-01-01,Human Resources,HR Manager,0,0
663,2025-01-01,Human Resources,C&B Specialist,1,0
664,2025-01-01,Information Technology,Data Analyst,1,1
666,2025-01-01,Information Technology,Data Analyst,1,0
670,2025-01-01,Marketing,Digital Marketing Specialist,1,0
671,2025-01-01,Human Resources,HR Manager,1,0
673,2025-01-01,Operations,Warehouse Supervisor,2,0
675,2025-01-01,Operations,Warehouse Supervisor,1,0
676,2025-01-01,Finance,Finance Manager,2,0
680,2025-01-01,Human Resources,C&B Specialist,2,0
683,2025-01-01,Human Resources,HR Executive,2,0
684,2025-01-01,Sales,Sales Supervisor,1,0
685,2025-01-01,Operations,Procurement Specialist,1,0
691,2025-01-01,Marketing,Marketing Executive,1,0
692,2025-01-01,Human Resources,C&B Specialist,2,0
693,2025-01-01,Sales,Sales Supervisor,1,0
694,2025-01-01,Marketing,Marketing Manager,0,0
696,2025-01-01,Finance,Finance Manager,2,0
701,2025-01-01,Finance,Financial Analyst,2,0
703,2025-01-01,Finance,Financial Analyst,1,0
705,2025-01-01,Human Resources,C&B Specialist,2,0
709,2025-01-01,Marketing,Digital Marketing Specialist,3,0
710,2025-01-01,Information Technology,Data Analyst,1,0
715,2025-01-01,Information Technology,IT Support,1,0
720,2025-01-01,Sales,Sales Representative,0,1
721,2025-01-01,Marketing,Digital Marketing Specialist,2,0
731,2025-01-01,Sales,Sales Representative,2,0
734,2025-01-01,Finance,Internal Auditor,1,0
735,2025-01-01,Information Technology,Data Analyst,1,0
736,2025-01-01,Operations,Operations Manager,1,0
738,2025-01-01,Operations,Operations Manager,1,0
744,2025-01-01,Information Technology,Software Engineer,1,0
745,2025-01-01,Operations,Procurement Specialist,0,0
748,2025-01-01,Information Technology,Data Analyst,1,0
750,2025-01-01,Finance,Financial Analyst,0,0
752,2025-01-01,Sales,Sales Executive,1,0
753,2025-01-01,Marketing,Marketing Executive,0,0
758,2025-01-01,Operations,Procurement Specialist,3,0
759,2025-01-01,Sales,Sales Executive,3,0
764,2025-01-01,Human Resources,HR Executive,1,0
766,2025-01-01,Finance,Internal Auditor,1,0
768,2025-01-01,Sales,Sales Supervisor,1,0
770,2025-01-01,Information Technology,System Administrator,1,0
771,2025-01-01,Finance,Internal Auditor,0,0
773,2025-01-01,Operations,Warehouse Supervisor,1,0
775,2025-01-01,Finance,Accountant,2,0
776,2025-01-01,Marketing,Marketing Executive,2,0
777,2025-01-01,Operations,Warehouse Supervisor,3,0
779,2025-01-01,Finance,Finance Manager,3,1
784,2025-01-01,Sales,Sales Executive,3,0
786,2025-01-01,Operations,Warehouse Supervisor,1,0
787,2025-01-01,Finance,Financial Analyst,2,0
789,2025-01-01,Sales,Sales Representative,1,0
790,2025-01-01,Marketing,Content Specialist,1,0
791,2025-01-01,Sales,Sales Supervisor,3,0
792,2025-01-01,Information Technology,Data Analyst,1,0
796,2025-01-01,Information Technology,Software Engineer,1,0
798,2025-01-01,Finance,Finance Manager,1,0
799,2025-01-01,Operations,Warehouse Supervisor,1,0
800,2025-01-01,Marketing,Marketing Manager,1,0
802,2025-01-01,Marketing,Marketing Executive,2,0
803,2025-01-01,Finance,Financial Analyst,1,0
804,2025-01-01,Information Technology,QA Engineer,1,0
805,2025-01-01,Information Technology,Software Engineer,1,0
811,2025-01-01,Operations,Procurement Specialist,1,0
813,2025-01-01,Sales,Account Manager,1,0
815,2025-01-01,Sales,Sales Supervisor,0,0
816,2025-01-01,Marketing,Digital Marketing Specialist,0,0
818,2025-01-01,Finance,Financial Analyst,0,0
819,2025-01-01,Sales,Sales Executive,1,0
820,2025-01-01,Information Technology,QA Engineer,1,0
821,2025-01-01,Human Resources,HR Executive,1,0
824,2025-01-01,Marketing,Digital Marketing Specialist,0,0
825,2025-01-01,Human Resources,HR Manager,0,0
826,2025-01-01,Operations,Operations Executive,1,1
832,2025-01-01,Human Resources,C&B Specialist,0,0
835,2025-01-01,Human Resources,Recruiter,3,0
836,2025-01-01,Human Resources,Recruiter,1,0
837,2025-01-01,Finance,Finance Manager,0,0
842,2025-01-01,Human Resources,C&B Specialist,2,1
845,2025-01-01,Sales,Account Manager,2,0
846,2025-01-01,Sales,Account Manager,1,0
849,2025-01-01,Sales,Sales Supervisor,3,0
852,2025-01-01,Finance,Finance Manager,1,0
854,2025-01-01,Human Resources,HR Executive,1,0
856,2025-01-01,Finance,Internal Auditor,2,0
857,2025-01-01,Operations,Operations Manager,1,0
858,2025-01-01,Finance,Accountant,3,1
860,2025-01-01,Sales,Sales Supervisor,1,0
862,2025-01-01,Marketing,Digital Marketing Specialist,1,0
863,2025-01-01,Marketing,Marketing Executive,2,0
866,2025-01-01,Marketing,Content Specialist,2,0
869,2025-01-01,Sales,Sales Supervisor,1,0
870,2025-01-01,Finance,Accountant,3,0
874,2025-01-01,Marketing,Digital Marketing Specialist,1,0
881,2025-01-01,Human Resources,C&B Specialist,1,0
882,2025-01-01,Human Resources,Recruiter,2,0
883,2025-01-01,Marketing,Digital Marketing Specialist,1,0
888,2025-01-01,Operations,Operations Manager,3,0
889,2025-01-01,Finance,Internal Auditor,2,0
890,2025-01-01,Operations,Operations Executive,2,0
891,2025-01-01,Marketing,Digital Marketing Specialist,2,0
892,2025-01-01,Marketing,Marketing Executive,1,0
895,2025-01-01,Finance,Finance Manager,1,0
896,2025-01-01,Human Resources,Recruiter,1,0
898,2025-01-01,Sales,Sales Executive,0,0
899,2025-01-01,Information Technology,System Administrator,1,0
900,2025-01-01,Information Technology,IT Support,2,0
904,2025-01-01,Human Resources,HR Manager,1,0
905,2025-01-01,Finance,Accountant,1,0
913,2025-01-01,Sales,Account Manager,2,0
914,2025-01-01,Marketing,Content Specialist,1,0
919,2025-01-01,Human Resources,C&B Specialist,1,0
924,2025-01-01,Human Resources,HR Manager,1,0
928,2025-01-01,Finance,Financial Analyst,1,0
933,2025-01-01,Finance,Finance Manager,1,0
934,2025-01-01,Finance,Accountant,3,0
936,2025-01-01,Human Resources,HR Manager,1,1
941,2025-01-01,Operations,Procurement Specialist,2,0
942,2025-01-01,Finance,Internal Auditor,2,1
947,2025-01-01,Operations,Operations Executive,1,0
949,2025-01-01,Finance,Financial Analyst,1,0
951,2025-01-01,Information Technology,IT Support,1,1
953,2025-01-01,Human Resources,C&B Specialist,1,1
954,2025-01-01,Information Technology,Data Analyst,3,0
957,2025-01-01,Human Resources,Recruiter,2,0
958,2025-01-01,Finance,Financial Analyst,1,0
964,2025-01-01,Finance,Finance Manager,1,0
967,2025-01-01,Information Technology,QA Engineer,1,0
968,2025-01-01,Marketing,Marketing Executive,0,0
970,2025-01-01,Information Technology,System Administrator,1,0
974,2025-01-01,Sales,Sales Supervisor,2,1
976,2025-01-01,Sales,Sales Executive,1,0
977,2025-01-01,Human Resources,HR Manager,0,0
978,2025-01-01,Information Technology,Software Engineer,1,0
985,2025-01-01,Finance,Finance Manager,2,0
987,2025-01-01,Information Technology,QA Engineer,2,1
990,2025-01-01,Operations,Warehouse Supervisor,1,0
993,2025-01-01,Marketing,Content Specialist,1,0
995,2025-01-01,Operations,Operations Manager,0,0
998,2025-01-01,Operations,Procurement Specialist,0,0
1001,2025-01-01,Marketing,Content Specialist,1,0
1002,2025-01-01,Operations,Operations Executive,1,0
1003,2025-01-01,Marketing,Digital Marketing Specialist,0,0
1007,2025-01-01,Operations,Operations Manager,2,0
1010,2025-01-01,Operations,Procurement Specialist,1,0
1012,2025-01-01,Marketing,Content Specialist,1,0
1016,2025-01-01,Finance,Finance Manager,0,0
1017,2025-01-01,Human Resources,C&B Specialist,0,0
1020,2025-01-01,Information Technology,Data Analyst,0,0
1021,2025-01-01,Finance,Financial Analyst,2,0
1022,2025-01-01,Marketing,Marketing Executive,2,0
1025,2025-01-01,Finance,Internal Auditor,0,0
1029,2025-01-01,Human Resources,HR Executive,1,0
1032,2025-01-01,Finance,Financial Analyst,1,0
1036,2025-01-01,Information Technology,QA Engineer,2,0
1040,2025-01-01,Operations,Procurement Specialist,2,0
1041,2025-01-01,Operations,Warehouse Supervisor,0,0
1042,2025-01-01,Information Technology,System Administrator,0,0
1043,2025-01-01,Finance,Accountant,2,1
1044,2025-01-01,Sales,Account Manager,1,0
1045,2025-01-01,Information Technology,QA Engineer,1,0
1051,2025-01-01,Operations,Operations Manager,3,0
1053,2025-01-01,Information Technology,IT Support,1,0
1055,2025-01-01,Finance,Finance Manager,0,0
1059,2025-01-01,Finance,Finance Manager,1,0
1064,2025-01-01,Sales,Sales Representative,1,0
1074,2025-01-01,Sales,Sales Supervisor,1,0
1075,2025-01-01,Human Resources,C&B Specialist,0,1
1076,2025-01-01,Finance,Accountant,1,0
1078,2025-01-01,Information Technology,Data Analyst,3,0
1082,2025-01-01,Information Technology,Data Analyst,0,0
1083,2025-01-01,Finance,Accountant,1,1
1085,2025-01-01,Human Resources,Recruiter,2,0
1086,2025-01-01,Human Resources,HR Executive,1,0
1088,2025-01-01,Information Technology,Data Analyst,3,0
1091,2025-01-01,Human Resources,HR Executive,1,0
1093,2025-01-01,Sales,Account Manager,1,0
1096,2025-01-01,Human Resources,C&B Specialist,1,0
1100,2025-01-01,Finance,Finance Manager,1,0
1109,2025-01-01,Information Technology,Software Engineer,2,0
1118,2025-01-01,Marketing,Digital Marketing Specialist,1,0
1119,2025-01-01,Information Technology,QA Engineer,1,0
1121,2025-01-01,Marketing,Marketing Executive,2,0
1125,2025-01-01,Human Resources,HR Executive,2,0
1129,2025-01-01,Finance,Accountant,2,0
1132,2025-01-01,Operations,Operations Executive,2,0
1139,2025-01-01,Finance,Financial Analyst,2,0
1140,2025-01-01,Operations,Warehouse Supervisor,1,0
1141,2025-01-01,Operations,Operations Executive,1,0
1142,2025-01-01,Operations,Procurement Specialist,0,0
1144,2025-01-01,Marketing,Marketing Executive,1,0
1146,2025-01-01,Operations,Warehouse Supervisor,1,0
1147,2025-01-01,Human Resources,HR Executive,1,0
1154,2025-01-01,Information Technology,Data Analyst,1,0
1155,2025-01-01,Marketing,Content Specialist,1,1
1157,2025-01-01,Marketing,Digital Marketing Specialist,1,0
1160,2025-01-01,Sales,Sales Supervisor,1,0
1162,2025-01-01,Sales,Sales Supervisor,1,0
1163,2025-01-01,Sales,Sales Supervisor,2,0
1164,2025-01-01,Operations,Procurement Specialist,1,0
1165,2025-01-01,Finance,Financial Analyst,1,0
1172,2025-01-01,Marketing,Marketing Executive,1,0
1174,2025-01-01,Human Resources,C&B Specialist,0,1
1176,2025-01-01,Human Resources,C&B Specialist,1,0
1178,2025-01-01,Human Resources,HR Executive,1,1
1180,2025-01-01,Sales,Sales Supervisor,0,1
1182,2025-01-01,Sales,Sales Supervisor,1,0
1184,2025-01-01,Human Resources,Recruiter,1,0
1190,2025-01-01,Human Resources,Recruiter,2,0
1193,2025-01-01,Human Resources,C&B Specialist,0,0
1195,2025-01-01,Human Resources,C&B Specialist,3,0
1201,2025-01-01,Marketing,Marketing Manager,1,0
1202,2025-01-01,Sales,Sales Executive,2,0
1203,2025-01-01,Operations,Operations Executive,1,1
1204,2025-01-01,Finance,Accountant,1,0
1205,2025-01-01,Finance,Internal Auditor,1,0
1207,2025-01-01,Operations,Operations Manager,0,1
1208,2025-01-01,Marketing,Marketing Manager,1,1
1209,2025-01-01,Marketing,Digital Marketing Specialist,1,0
1213,2025-01-01,Information Technology,System Administrator,1,0
1215,2025-01-01,Information Technology,IT Support,0,0
1216,2025-01-01,Human Resources,Recruiter,0,0
1222,2025-01-01,Marketing,Digital Marketing Specialist,1,0
1227,2025-01-01,Information Technology,System Administrator,1,0
1229,2025-01-01,Sales,Sales Representative,2,0
1235,2025-01-01,Human Resources,Recruiter,0,0
1238,2025-01-01,Operations,Warehouse Supervisor,0,0
1239,2025-01-01,Sales,Account Manager,0,1
1242,2025-01-01,Finance,Accountant,0,0
1243,2025-01-01,Human Resources,HR Executive,2,0
1245,2025-01-01,Information Technology,Software Engineer,1,0
1248,2025-01-01,Marketing,Marketing Executive,1,0
1250,2025-01-01,Operations,Operations Executive,1,1
1251,2025-01-01,Information Technology,System Administrator,1,0
1253,2025-01-01,Finance,Accountant,3,0
1255,2025-01-01,Finance,Finance Manager,2,0
1256,2025-01-01,Marketing,Marketing Executive,1,0
1261,2025-01-01,Marketing,Marketing Manager,3,0
1264,2025-01-01,Finance,Financial Analyst,0,0
1267,2025-01-01,Operations,Procurement Specialist,1,0
1268,2025-01-01,Operations,Operations Executive,1,0
1269,2025-01-01,Human Resources,HR Executive,2,0
1271,2025-01-01,Finance,Internal Auditor,1,0
1272,2025-01-01,Sales,Account Manager,1,0
1276,2025-01-01,Marketing,Content Specialist,0,0
1281,2025-01-01,Human Resources,HR Executive,1,0
1283,2025-01-01,Human Resources,Recruiter,0,1
1284,2025-01-01,Marketing,Content Specialist,2,0
