MaNV,NgayThang,Nam,PhongBan,ChucDanh,CapBacCongViec,Tuoi,KhoangCachTuNha,SoLuongDuAn,SoGioTrungBinhThang,LamThemGio,DiemDanhGiaHieuSuat,DiemHaiLongCongViec,DiemHaiLongMoiTruong,ThuNhapThang,SoNamTaiCongTy,SoNamTuLanThangChucCuoi,DuocThangChucNamTruoc,ThucTeNghiViec,XacSuatNghiViec,DiemNguyCo,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,LaRuiRoCao,XepHangNguyCo,PhanViNguyCo,MoHinh,PhienBanMoHinh
83,2025-01-01,2025,Operations,Operations Executive,3,31,15,4,229,False,3,1,2,38151000,3,3,False,1,0.22455881896448546,22.46,1,0.16908819344089202,Cao,3,1,871,80.37,Random Forest,RF_2025_V1
85,2025-01-01,2025,Finance,Financial Analyst,1,39,21,4,261,True,4,2,4,12665000,2,2,False,0,0.3107656055554474,31.08,1,0.16908819344089202,Cao,3,1,293,93.41,Random Forest,RF_2025_V1
88,2025-01-01,2025,Operations,Warehouse Supervisor,4,31,34,3,185,True,3,3,4,46784000,4,4,False,0,0.1556672706414897,15.57,0,0.16908819344089202,Trung bình,2,0,1689,61.9,Random Forest,RF_2025_V1
91,2025-01-01,2025,Sales,Sales Executive,2,45,39,3,208,False,4,3,3,18905000,8,6,False,1,0.07903471406966328,7.9,0,0.16908819344089202,Thấp,1,0,3666,17.29,Random Forest,RF_2025_V1
92,2025-01-01,2025,Operations,Operations Executive,2,53,15,3,231,True,2,2,3,26901000,14,14,False,1,0.397644330894956,39.76,1,0.16908819344089202,Cao,3,1,60,98.67,Random Forest,RF_2025_V1
95,2025-01-01,2025,Finance,Financial Analyst,2,31,10,2,176,False,2,2,4,17705000,3,1,False,0,0.10217567160348587,10.22,0,0.16908819344089202,Trung bình,2,0,2945,33.56,Random Forest,RF_2025_V1
98,2025-01-01,2025,Information Technology,IT Support,3,39,19,1,177,False,3,1,4,53512000,9,9,False,0,0.13848755206643282,13.85,0,0.16908819344089202,Trung bình,2,0,2021,54.41,Random Forest,RF_2025_V1
102,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,28,37,5,258,True,3,4,2,21039000,1,1,False,0,0.2766637905685632,27.67,1,0.16908819344089202,Cao,3,1,452,89.82,Random Forest,RF_2025_V1
103,2025-01-01,2025,Finance,Internal Auditor,1,55,12,3,195,False,3,3,3,12919000,5,5,False,0,0.08273037899928842,8.27,0,0.16908819344089202,Thấp,1,0,3495,21.15,Random Forest,RF_2025_V1
104,2025-01-01,2025,Human Resources,HR Manager,4,55,35,4,192,False,3,3,4,37290000,9,0,True,0,0.07251866142339572,7.25,0,0.16908819344089202,Thấp,1,0,3914,11.69,Random Forest,RF_2025_V1
109,2025-01-01,2025,Information Technology,Software Engineer,2,43,31,4,207,True,4,2,3,20962000,3,3,False,0,0.2376618680041319,23.77,1,0.16908819344089202,Cao,3,1,755,82.98,Random Forest,RF_2025_V1
110,2025-01-01,2025,Marketing,Content Specialist,2,47,29,3,216,True,5,2,4,12972000,2,1,False,0,0.18421061104959988,18.42,1,0.16908819344089202,Cao,3,1,1288,70.95,Random Forest,RF_2025_V1
115,2025-01-01,2025,Human Resources,C&B Specialist,4,53,27,2,191,False,2,3,2,40225000,3,2,False,0,0.07470113109377154,7.47,0,0.16908819344089202,Thấp,1,0,3831,13.56,Random Forest,RF_2025_V1
118,2025-01-01,2025,Information Technology,Software Engineer,2,54,24,8,257,True,4,1,4,18141000,8,3,False,0,0.36405326710711744,36.41,1,0.16908819344089202,Cao,3,1,123,97.25,Random Forest,RF_2025_V1
120,2025-01-01,2025,Operations,Warehouse Supervisor,3,25,12,7,221,False,4,4,4,24737000,2,2,False,0,0.13055690387893856,13.06,0,0.16908819344089202,Trung bình,2,0,2233,49.63,Random Forest,RF_2025_V1
121,2025-01-01,2025,Human Resources,HR Manager,1,43,40,3,206,False,4,4,4,10133000,1,1,False,1,0.07156335673548034,7.16,0,0.16908819344089202,Thấp,1,0,3944,11.01,Random Forest,RF_2025_V1
125,2025-01-01,2025,Finance,Internal Auditor,3,39,37,2,239,True,3,4,2,26438000,9,4,False,0,0.3434356517782972,34.34,1,0.16908819344089202,Cao,3,1,176,96.05,Random Forest,RF_2025_V1
126,2025-01-01,2025,Marketing,Marketing Executive,4,37,2,5,219,False,3,2,4,63942000,5,5,False,0,0.18083218366580187,18.08,1,0.16908819344089202,Cao,3,1,1325,70.12,Random Forest,RF_2025_V1
127,2025-01-01,2025,Finance,Finance Manager,2,47,18,4,193,False,3,1,3,18151000,7,5,False,0,0.1355156573498931,13.55,0,0.16908819344089202,Trung bình,2,0,2099,52.65,Random Forest,RF_2025_V1
128,2025-01-01,2025,Finance,Accountant,1,38,28,4,190,True,3,4,1,19104000,13,13,False,0,0.22221890515721113,22.22,1,0.16908819344089202,Cao,3,1,897,79.78,Random Forest,RF_2025_V1
129,2025-01-01,2025,Sales,Account Manager,4,29,9,3,190,False,5,4,4,48556000,4,4,False,0,0.07052129536185345,7.05,0,0.16908819344089202,Thấp,1,0,3982,10.16,Random Forest,RF_2025_V1
130,2025-01-01,2025,Marketing,Digital Marketing Specialist,3,34,22,1,184,True,3,4,3,28782000,4,2,False,0,0.12694455190487375,12.69,0,0.16908819344089202,Trung bình,2,0,2300,48.12,Random Forest,RF_2025_V1
131,2025-01-01,2025,Sales,Sales Executive,4,45,27,3,198,False,2,3,4,65995000,14,6,False,0,0.08993573721166498,8.99,0,0.16908819344089202,Thấp,1,0,3269,26.25,Random Forest,RF_2025_V1
136,2025-01-01,2025,Sales,Sales Executive,2,31,16,2,127,False,3,3,3,21635000,5,5,False,0,0.07885154194571378,7.89,0,0.16908819344089202,Thấp,1,0,3673,17.13,Random Forest,RF_2025_V1
138,2025-01-01,2025,Sales,Sales Executive,3,28,4,6,186,False,3,4,4,26008000,5,1,False,0,0.08214191115398775,8.21,0,0.16908819344089202,Thấp,1,0,3521,20.56,Random Forest,RF_2025_V1
139,2025-01-01,2025,Sales,Sales Representative,1,33,6,3,199,True,4,3,4,9755000,2,2,False,0,0.10157809839651992,10.16,0,0.16908819344089202,Trung bình,2,0,2960,33.22,Random Forest,RF_2025_V1
140,2025-01-01,2025,Human Resources,HR Executive,1,39,30,2,194,False,3,4,2,10937000,1,1,False,0,0.09677153502949506,9.68,0,0.16908819344089202,Thấp,1,0,3070,30.74,Random Forest,RF_2025_V1
143,2025-01-01,2025,Operations,Procurement Specialist,2,42,34,1,195,False,4,4,2,25852000,6,6,False,0,0.11598281601163822,11.6,0,0.16908819344089202,Trung bình,2,0,2563,42.18,Random Forest,RF_2025_V1
146,2025-01-01,2025,Finance,Internal Auditor,2,37,8,4,227,True,4,4,3,24372000,8,8,False,0,0.2826586333639269,28.27,1,0.16908819344089202,Cao,3,1,412,90.72,Random Forest,RF_2025_V1
149,2025-01-01,2025,Human Resources,Recruiter,3,25,40,3,201,False,4,4,4,35845000,1,1,False,0,0.09015898740470364,9.02,0,0.16908819344089202,Thấp,1,0,3265,26.34,Random Forest,RF_2025_V1
151,2025-01-01,2025,Information Technology,Software Engineer,3,49,32,2,177,False,3,4,4,46844000,6,6,False,0,0.0712727106368709,7.13,0,0.16908819344089202,Thấp,1,0,3951,10.86,Random Forest,RF_2025_V1
152,2025-01-01,2025,Human Resources,HR Manager,2,36,3,1,194,False,5,4,3,20043000,5,3,False,0,0.06708128289742306,6.71,0,0.16908819344089202,Thấp,1,0,4087,7.79,Random Forest,RF_2025_V1
153,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,33,34,6,237,True,3,3,2,15065000,4,4,False,0,0.3788130008755853,37.88,1,0.16908819344089202,Cao,3,1,90,97.99,Random Forest,RF_2025_V1
158,2025-01-01,2025,Information Technology,Data Analyst,2,41,9,2,204,False,4,3,4,24869000,4,4,False,0,0.08154706734050607,8.15,0,0.16908819344089202,Thấp,1,0,3543,20.06,Random Forest,RF_2025_V1
161,2025-01-01,2025,Sales,Sales Representative,4,37,9,4,207,False,4,4,3,80476000,13,13,False,1,0.08841840790463859,8.84,0,0.16908819344089202,Thấp,1,0,3311,25.3,Random Forest,RF_2025_V1
162,2025-01-01,2025,Marketing,Content Specialist,1,41,40,4,192,False,3,2,4,9987000,5,5,False,0,0.13348278429641355,13.35,0,0.16908819344089202,Trung bình,2,0,2149,51.52,Random Forest,RF_2025_V1
166,2025-01-01,2025,Information Technology,QA Engineer,4,40,29,1,206,True,2,3,2,65495000,9,5,False,0,0.2201556800182633,22.02,1,0.16908819344089202,Cao,3,1,917,79.33,Random Forest,RF_2025_V1
167,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,45,32,3,186,False,2,4,1,17402000,9,2,False,1,0.0968497991136984,9.68,0,0.16908819344089202,Thấp,1,0,3069,30.76,Random Forest,RF_2025_V1
170,2025-01-01,2025,Operations,Procurement Specialist,4,48,4,2,201,False,5,4,4,46525000,2,2,False,0,0.06542391241251383,6.54,0,0.16908819344089202,Thấp,1,0,4136,6.68,Random Forest,RF_2025_V1
171,2025-01-01,2025,Sales,Sales Representative,3,41,6,4,190,False,4,4,1,35662000,14,14,False,0,0.1195823117784304,11.96,0,0.16908819344089202,Trung bình,2,0,2482,44.01,Random Forest,RF_2025_V1
175,2025-01-01,2025,Information Technology,Data Analyst,1,43,16,3,191,False,5,2,4,13749000,2,2,False,0,0.09311624670624181,9.31,0,0.16908819344089202,Thấp,1,0,3158,28.75,Random Forest,RF_2025_V1
176,2025-01-01,2025,Information Technology,Software Engineer,3,25,40,8,209,False,3,3,2,36979000,1,1,False,0,0.11468316523017132,11.47,0,0.16908819344089202,Trung bình,2,0,2601,41.32,Random Forest,RF_2025_V1
178,2025-01-01,2025,Sales,Sales Supervisor,2,55,1,3,176,False,4,2,3,13086000,1,1,False,0,0.11186997581158141,11.19,0,0.16908819344089202,Trung bình,2,0,2692,39.27,Random Forest,RF_2025_V1
180,2025-01-01,2025,Marketing,Marketing Manager,1,52,37,2,167,False,3,3,3,9377000,2,2,False,0,0.05045916927964872,5.05,0,0.16908819344089202,Thấp,1,0,4428,0.09,Random Forest,RF_2025_V1
181,2025-01-01,2025,Information Technology,IT Support,2,28,34,3,225,False,2,3,3,16448000,2,2,False,0,0.10752046334417467,10.75,0,0.16908819344089202,Trung bình,2,0,2828,36.2,Random Forest,RF_2025_V1
182,2025-01-01,2025,Sales,Sales Supervisor,4,29,29,2,178,False,4,2,2,48019000,4,0,True,0,0.15121212336870105,15.12,0,0.16908819344089202,Trung bình,2,0,1765,60.19,Random Forest,RF_2025_V1
184,2025-01-01,2025,Marketing,Content Specialist,2,46,36,4,164,False,3,4,3,19499000,10,3,False,0,0.0551982720103279,5.52,0,0.16908819344089202,Thấp,1,0,4393,0.88,Random Forest,RF_2025_V1
185,2025-01-01,2025,Marketing,Content Specialist,4,33,3,7,216,False,3,4,1,65767000,8,8,False,0,0.15560976942941354,15.56,0,0.16908819344089202,Trung bình,2,0,1691,61.86,Random Forest,RF_2025_V1
187,2025-01-01,2025,Finance,Accountant,2,29,10,1,172,False,3,3,4,21215000,4,4,False,0,0.07375668472915337,7.38,0,0.16908819344089202,Thấp,1,0,3878,12.5,Random Forest,RF_2025_V1
189,2025-01-01,2025,Finance,Financial Analyst,2,33,40,4,215,False,3,3,4,12776000,2,1,False,0,0.07265624378043946,7.27,0,0.16908819344089202,Thấp,1,0,3910,11.78,Random Forest,RF_2025_V1
190,2025-01-01,2025,Sales,Sales Representative,1,45,8,3,173,True,3,1,2,11252000,4,4,False,0,0.3042046740131165,30.42,1,0.16908819344089202,Cao,3,1,318,92.85,Random Forest,RF_2025_V1
192,2025-01-01,2025,Operations,Procurement Specialist,1,35,31,3,219,True,3,2,1,12869000,4,4,False,0,0.3390318703011356,33.9,1,0.16908819344089202,Cao,3,1,191,95.71,Random Forest,RF_2025_V1
193,2025-01-01,2025,Information Technology,Data Analyst,1,53,14,1,143,False,3,2,2,9580000,2,2,False,0,0.13844161744025268,13.84,0,0.16908819344089202,Trung bình,2,0,2025,54.32,Random Forest,RF_2025_V1
194,2025-01-01,2025,Finance,Financial Analyst,3,55,39,2,179,False,2,1,3,29530000,3,3,False,0,0.10117127789622528,10.12,0,0.16908819344089202,Trung bình,2,0,2969,33.02,Random Forest,RF_2025_V1
195,2025-01-01,2025,Information Technology,QA Engineer,2,39,25,3,203,False,4,2,4,24078000,4,4,False,0,0.14731832745570003,14.73,0,0.16908819344089202,Trung bình,2,0,1843,58.43,Random Forest,RF_2025_V1
198,2025-01-01,2025,Finance,Finance Manager,3,36,28,4,167,False,4,3,2,52295000,7,7,False,0,0.10987466566502467,10.99,0,0.16908819344089202,Trung bình,2,0,2753,37.89,Random Forest,RF_2025_V1
199,2025-01-01,2025,Information Technology,IT Support,4,52,18,4,203,False,4,3,4,61488000,9,4,False,0,0.07532832283276,7.53,0,0.16908819344089202,Thấp,1,0,3807,14.11,Random Forest,RF_2025_V1
200,2025-01-01,2025,Operations,Warehouse Supervisor,2,51,12,2,195,False,3,3,2,13872000,2,2,False,0,0.08821516787181616,8.82,0,0.16908819344089202,Thấp,1,0,3317,25.16,Random Forest,RF_2025_V1
201,2025-01-01,2025,Information Technology,IT Support,3,30,7,5,215,False,3,3,3,31407000,7,3,False,0,0.07569741384430731,7.57,0,0.16908819344089202,Thấp,1,0,3795,14.38,Random Forest,RF_2025_V1
205,2025-01-01,2025,Operations,Operations Manager,2,33,29,6,233,False,4,3,3,14793000,1,1,False,0,0.1657238309523423,16.57,0,0.16908819344089202,Trung bình,2,0,1535,65.38,Random Forest,RF_2025_V1
206,2025-01-01,2025,Information Technology,QA Engineer,2,38,9,3,181,False,4,4,4,21348000,1,1,False,0,0.08003861403688756,8.0,0,0.16908819344089202,Thấp,1,0,3617,18.39,Random Forest,RF_2025_V1
210,2025-01-01,2025,Sales,Sales Executive,1,44,9,5,183,False,3,2,4,8049000,1,1,False,0,0.09900988624780037,9.9,0,0.16908819344089202,Thấp,1,0,3027,31.71,Random Forest,RF_2025_V1
211,2025-01-01,2025,Finance,Financial Analyst,1,52,16,1,183,False,4,4,2,11349000,14,14,False,0,0.1308081462256836,13.08,0,0.16908819344089202,Trung bình,2,0,2220,49.92,Random Forest,RF_2025_V1
213,2025-01-01,2025,Sales,Sales Supervisor,1,46,27,2,208,False,3,4,2,10986000,4,4,False,0,0.12089604293406929,12.09,0,0.16908819344089202,Trung bình,2,0,2445,44.84,Random Forest,RF_2025_V1
216,2025-01-01,2025,Operations,Operations Executive,2,52,18,2,205,True,4,3,2,12000000,2,0,True,0,0.1666430422600521,16.66,0,0.16908819344089202,Trung bình,2,0,1523,65.65,Random Forest,RF_2025_V1
218,2025-01-01,2025,Information Technology,IT Support,1,44,34,4,245,True,3,3,1,11202000,1,1,False,0,0.27948972960502616,27.95,1,0.16908819344089202,Cao,3,1,431,90.3,Random Forest,RF_2025_V1
219,2025-01-01,2025,Finance,Internal Auditor,4,29,10,5,231,True,4,3,1,76136000,8,8,False,0,0.34108358824835877,34.11,1,0.16908819344089202,Cao,3,1,184,95.87,Random Forest,RF_2025_V1
222,2025-01-01,2025,Sales,Sales Executive,2,55,20,4,201,True,3,3,3,13164000,12,0,True,0,0.13744396187250751,13.74,0,0.16908819344089202,Trung bình,2,0,2045,53.87,Random Forest,RF_2025_V1
223,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,50,12,3,191,True,4,2,2,14705000,14,4,False,0,0.3211561410610987,32.12,1,0.16908819344089202,Cao,3,1,247,94.45,Random Forest,RF_2025_V1
224,2025-01-01,2025,Operations,Warehouse Supervisor,1,54,6,1,179,False,5,2,2,13277000,12,12,False,0,0.20381000177259978,20.38,1,0.16908819344089202,Cao,3,1,1101,75.17,Random Forest,RF_2025_V1
228,2025-01-01,2025,Information Technology,Data Analyst,4,27,14,4,166,False,5,2,4,62283000,6,3,False,0,0.12345751379831342,12.35,0,0.16908819344089202,Trung bình,2,0,2373,46.47,Random Forest,RF_2025_V1
229,2025-01-01,2025,Human Resources,C&B Specialist,3,42,13,1,197,True,3,4,4,26925000,6,0,True,0,0.14234979761959418,14.23,0,0.16908819344089202,Trung bình,2,0,1926,56.56,Random Forest,RF_2025_V1
233,2025-01-01,2025,Sales,Account Manager,3,37,38,1,212,True,3,4,4,53254000,8,8,False,0,0.18129105644528565,18.13,1,0.16908819344089202,Cao,3,1,1316,70.32,Random Forest,RF_2025_V1
234,2025-01-01,2025,Finance,Accountant,4,49,39,7,230,True,4,4,3,40069000,11,2,False,0,0.24007889956520373,24.01,1,0.16908819344089202,Cao,3,1,734,83.46,Random Forest,RF_2025_V1
236,2025-01-01,2025,Marketing,Content Specialist,4,30,10,3,172,False,3,1,3,50668000,2,2,False,0,0.09528586680457385,9.53,0,0.16908819344089202,Thấp,1,0,3105,29.95,Random Forest,RF_2025_V1
237,2025-01-01,2025,Operations,Operations Manager,2,38,21,6,238,True,4,2,1,21063000,13,0,True,1,0.46114126710449826,46.11,1,0.16908819344089202,Cao,3,1,8,99.84,Random Forest,RF_2025_V1
238,2025-01-01,2025,Human Resources,HR Manager,2,43,16,4,207,False,3,3,2,21551000,15,15,False,0,0.15216808919142646,15.22,0,0.16908819344089202,Trung bình,2,0,1747,60.6,Random Forest,RF_2025_V1
241,2025-01-01,2025,Finance,Internal Auditor,2,54,2,2,217,True,3,3,1,22282000,2,2,False,0,0.19056315413122352,19.06,1,0.16908819344089202,Cao,3,1,1222,72.44,Random Forest,RF_2025_V1
244,2025-01-01,2025,Marketing,Marketing Executive,4,49,22,5,231,True,4,3,4,42329000,10,1,False,1,0.223217482824377,22.32,1,0.16908819344089202,Cao,3,1,885,80.05,Random Forest,RF_2025_V1
245,2025-01-01,2025,Finance,Finance Manager,3,46,5,3,181,False,4,2,3,29454000,13,2,False,0,0.11407827367278443,11.41,0,0.16908819344089202,Trung bình,2,0,2622,40.85,Random Forest,RF_2025_V1
249,2025-01-01,2025,Marketing,Marketing Executive,1,46,21,2,162,False,2,3,3,9324000,1,1,False,0,0.06936691950730023,6.94,0,0.16908819344089202,Thấp,1,0,4017,9.37,Random Forest,RF_2025_V1
250,2025-01-01,2025,Marketing,Marketing Executive,2,38,34,3,221,True,3,4,2,23154000,4,4,False,1,0.30332589940726207,30.33,1,0.16908819344089202,Cao,3,1,321,92.78,Random Forest,RF_2025_V1
252,2025-01-01,2025,Information Technology,Data Analyst,2,55,25,4,222,False,3,4,1,21125000,4,4,False,0,0.17755245490980504,17.76,1,0.16908819344089202,Cao,3,1,1369,69.13,Random Forest,RF_2025_V1
253,2025-01-01,2025,Sales,Sales Representative,1,45,28,3,189,False,4,2,1,13963000,9,9,False,0,0.16944130276947345,16.94,1,0.16908819344089202,Cao,3,1,1484,66.53,Random Forest,RF_2025_V1
255,2025-01-01,2025,Sales,Sales Executive,2,50,9,2,185,True,4,4,2,17986000,8,5,False,1,0.2093215364853984,20.93,1,0.16908819344089202,Cao,3,1,1040,76.55,Random Forest,RF_2025_V1
