MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,DiemNguyCo,LaRuiRoCao,LaRuiRoTrungBinh,LaRuiRoThap,XepHangNguyCo,PhanViNguyCo
140,2025-01-01,2025,Human Resources,HR Executive,0,0.09677153502949506,0,0.16908819344089202,Thấp,1,9.68,0,0,1,3070,30.74
143,2025-01-01,2025,Operations,Procurement Specialist,0,0.11598281601163822,0,0.16908819344089202,Trung bình,2,11.6,0,1,0,2563,42.18
146,2025-01-01,2025,Finance,Internal Auditor,0,0.2826586333639269,1,0.16908819344089202,Cao,3,28.27,1,0,0,412,90.72
149,2025-01-01,2025,Human Resources,Recruiter,0,0.09015898740470364,0,0.16908819344089202,Thấp,1,9.02,0,0,1,3265,26.34
151,2025-01-01,2025,Information Technology,Software Engineer,0,0.0712727106368709,0,0.16908819344089202,Thấp,1,7.13,0,0,1,3951,10.86
152,2025-01-01,2025,Human Resources,HR Manager,0,0.06708128289742306,0,0.16908819344089202,Thấp,1,6.71,0,0,1,4087,7.79
153,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.3788130008755853,1,0.16908819344089202,Cao,3,37.88,1,0,0,90,97.99
158,2025-01-01,2025,Information Technology,Data Analyst,0,0.08154706734050607,0,0.16908819344089202,Thấp,1,8.15,0,0,1,3543,20.06
161,2025-01-01,2025,Sales,Sales Representative,1,0.08841840790463859,0,0.16908819344089202,Thấp,1,8.84,0,0,1,3311,25.3
162,2025-01-01,2025,Marketing,Content Specialist,0,0.13348278429641355,0,0.16908819344089202,Trung bình,2,13.35,0,1,0,2149,51.52
166,2025-01-01,2025,Information Technology,QA Engineer,0,0.2201556800182633,1,0.16908819344089202,Cao,3,22.02,1,0,0,917,79.33
167,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,0.0968497991136984,0,0.16908819344089202,Thấp,1,9.68,0,0,1,3069,30.76
170,2025-01-01,2025,Operations,Procurement Specialist,0,0.06542391241251383,0,0.16908819344089202,Thấp,1,6.54,0,0,1,4136,6.68
171,2025-01-01,2025,Sales,Sales Representative,0,0.1195823117784304,0,0.16908819344089202,Trung bình,2,11.96,0,1,0,2482,44.01
175,2025-01-01,2025,Information Technology,Data Analyst,0,0.09311624670624181,0,0.16908819344089202,Thấp,1,9.31,0,0,1,3158,28.75
176,2025-01-01,2025,Information Technology,Software Engineer,0,0.11468316523017132,0,0.16908819344089202,Trung bình,2,11.47,0,1,0,2601,41.32
178,2025-01-01,2025,Sales,Sales Supervisor,0,0.11186997581158141,0,0.16908819344089202,Trung bình,2,11.19,0,1,0,2692,39.27
180,2025-01-01,2025,Marketing,Marketing Manager,0,0.05045916927964872,0,0.16908819344089202,Thấp,1,5.05,0,0,1,4428,0.09
181,2025-01-01,2025,Information Technology,IT Support,0,0.10752046334417467,0,0.16908819344089202,Trung bình,2,10.75,0,1,0,2828,36.2
182,2025-01-01,2025,Sales,Sales Supervisor,0,0.15121212336870105,0,0.16908819344089202,Trung bình,2,15.12,0,1,0,1765,60.19
184,2025-01-01,2025,Marketing,Content Specialist,0,0.0551982720103279,0,0.16908819344089202,Thấp,1,5.52,0,0,1,4393,0.88
185,2025-01-01,2025,Marketing,Content Specialist,0,0.15560976942941354,0,0.16908819344089202,Trung bình,2,15.56,0,1,0,1691,61.86
187,2025-01-01,2025,Finance,Accountant,0,0.07375668472915337,0,0.16908819344089202,Thấp,1,7.38,0,0,1,3878,12.5
189,2025-01-01,2025,Finance,Financial Analyst,0,0.07265624378043946,0,0.16908819344089202,Thấp,1,7.27,0,0,1,3910,11.78
190,2025-01-01,2025,Sales,Sales Representative,0,0.3042046740131165,1,0.16908819344089202,Cao,3,30.42,1,0,0,318,92.85
192,2025-01-01,2025,Operations,Procurement Specialist,0,0.3390318703011356,1,0.16908819344089202,Cao,3,33.9,1,0,0,191,95.71
193,2025-01-01,2025,Information Technology,Data Analyst,0,0.13844161744025268,0,0.16908819344089202,Trung bình,2,13.84,0,1,0,2025,54.32
194,2025-01-01,2025,Finance,Financial Analyst,0,0.10117127789622528,0,0.16908819344089202,Trung bình,2,10.12,0,1,0,2969,33.02
195,2025-01-01,2025,Information Technology,QA Engineer,0,0.14731832745570003,0,0.16908819344089202,Trung bình,2,14.73,0,1,0,1843,58.43
198,2025-01-01,2025,Finance,Finance Manager,0,0.10987466566502467,0,0.16908819344089202,Trung bình,2,10.99,0,1,0,2753,37.89
199,2025-01-01,2025,Information Technology,IT Support,0,0.07532832283276,0,0.16908819344089202,Thấp,1,7.53,0,0,1,3807,14.11
200,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08821516787181616,0,0.16908819344089202,Thấp,1,8.82,0,0,1,3317,25.16
201,2025-01-01,2025,Information Technology,IT Support,0,0.07569741384430731,0,0.16908819344089202,Thấp,1,7.57,0,0,1,3795,14.38
205,2025-01-01,2025,Operations,Operations Manager,0,0.1657238309523423,0,0.16908819344089202,Trung bình,2,16.57,0,1,0,1535,65.38
206,2025-01-01,2025,Information Technology,QA Engineer,0,0.08003861403688756,0,0.16908819344089202,Thấp,1,8.0,0,0,1,3617,18.39
210,2025-01-01,2025,Sales,Sales Executive,0,0.09900988624780037,0,0.16908819344089202,Thấp,1,9.9,0,0,1,3027,31.71
211,2025-01-01,2025,Finance,Financial Analyst,0,0.1308081462256836,0,0.16908819344089202,Trung bình,2,13.08,0,1,0,2220,49.92
213,2025-01-01,2025,Sales,Sales Supervisor,0,0.12089604293406929,0,0.16908819344089202,Trung bình,2,12.09,0,1,0,2445,44.84
216,2025-01-01,2025,Operations,Operations Executive,0,0.1666430422600521,0,0.16908819344089202,Trung bình,2,16.66,0,1,0,1523,65.65
218,2025-01-01,2025,Information Technology,IT Support,0,0.27948972960502616,1,0.16908819344089202,Cao,3,27.95,1,0,0,431,90.3
219,2025-01-01,2025,Finance,Internal Auditor,0,0.34108358824835877,1,0.16908819344089202,Cao,3,34.11,1,0,0,184,95.87
222,2025-01-01,2025,Sales,Sales Executive,0,0.13744396187250751,0,0.16908819344089202,Trung bình,2,13.74,0,1,0,2045,53.87
223,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.3211561410610987,1,0.16908819344089202,Cao,3,32.12,1,0,0,247,94.45
224,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.20381000177259978,1,0.16908819344089202,Cao,3,20.38,1,0,0,1101,75.17
228,2025-01-01,2025,Information Technology,Data Analyst,0,0.12345751379831342,0,0.16908819344089202,Trung bình,2,12.35,0,1,0,2373,46.47
229,2025-01-01,2025,Human Resources,C&B Specialist,0,0.14234979761959418,0,0.16908819344089202,Trung bình,2,14.23,0,1,0,1926,56.56
233,2025-01-01,2025,Sales,Account Manager,0,0.18129105644528565,1,0.16908819344089202,Cao,3,18.13,1,0,0,1316,70.32
234,2025-01-01,2025,Finance,Accountant,0,0.24007889956520373,1,0.16908819344089202,Cao,3,24.01,1,0,0,734,83.46
236,2025-01-01,2025,Marketing,Content Specialist,0,0.09528586680457385,0,0.16908819344089202,Thấp,1,9.53,0,0,1,3105,29.95
237,2025-01-01,2025,Operations,Operations Manager,1,0.46114126710449826,1,0.16908819344089202,Cao,3,46.11,1,0,0,8,99.84
238,2025-01-01,2025,Human Resources,HR Manager,0,0.15216808919142646,0,0.16908819344089202,Trung bình,2,15.22,0,1,0,1747,60.6
241,2025-01-01,2025,Finance,Internal Auditor,0,0.19056315413122352,1,0.16908819344089202,Cao,3,19.06,1,0,0,1222,72.44
244,2025-01-01,2025,Marketing,Marketing Executive,1,0.223217482824377,1,0.16908819344089202,Cao,3,22.32,1,0,0,885,80.05
245,2025-01-01,2025,Finance,Finance Manager,0,0.11407827367278443,0,0.16908819344089202,Trung bình,2,11.41,0,1,0,2622,40.85
249,2025-01-01,2025,Marketing,Marketing Executive,0,0.06936691950730023,0,0.16908819344089202,Thấp,1,6.94,0,0,1,4017,9.37
250,2025-01-01,2025,Marketing,Marketing Executive,1,0.30332589940726207,1,0.16908819344089202,Cao,3,30.33,1,0,0,321,92.78
252,2025-01-01,2025,Information Technology,Data Analyst,0,0.17755245490980504,1,0.16908819344089202,Cao,3,17.76,1,0,0,1369,69.13
253,2025-01-01,2025,Sales,Sales Representative,0,0.16944130276947345,1,0.16908819344089202,Cao,3,16.94,1,0,0,1484,66.53
255,2025-01-01,2025,Sales,Sales Executive,1,0.2093215364853984,1,0.16908819344089202,Cao,3,20.93,1,0,0,1040,76.55
257,2025-01-01,2025,Sales,Sales Executive,0,0.11505762607521601,0,0.16908819344089202,Trung bình,2,11.51,0,1,0,2593,41.5
259,2025-01-01,2025,Sales,Sales Representative,0,0.19852781604644926,1,0.16908819344089202,Cao,3,19.85,1,0,0,1149,74.09
262,2025-01-01,2025,Operations,Operations Manager,1,0.11277935746418237,0,0.16908819344089202,Trung bình,2,11.28,0,1,0,2664,39.9
268,2025-01-01,2025,Information Technology,QA Engineer,0,0.13510100397086583,0,0.16908819344089202,Trung bình,2,13.51,0,1,0,2108,52.45
272,2025-01-01,2025,Sales,Account Manager,0,0.20906166152386282,1,0.16908819344089202,Cao,3,20.91,1,0,0,1046,76.42
273,2025-01-01,2025,Human Resources,Recruiter,0,0.10629081353003894,0,0.16908819344089202,Trung bình,2,10.63,0,1,0,2860,35.48
275,2025-01-01,2025,Information Technology,IT Support,0,0.05907446734866055,0,0.16908819344089202,Thấp,1,5.91,0,0,1,4320,2.53
277,2025-01-01,2025,Operations,Operations Manager,0,0.16499180206834574,0,0.16908819344089202,Trung bình,2,16.5,0,1,0,1542,65.22
278,2025-01-01,2025,Marketing,Marketing Manager,0,0.0648030884822687,0,0.16908819344089202,Thấp,1,6.48,0,0,1,4157,6.21
282,2025-01-01,2025,Marketing,Marketing Manager,0,0.11311551205685962,0,0.16908819344089202,Trung bình,2,11.31,0,1,0,2655,40.1
284,2025-01-01,2025,Finance,Finance Manager,0,0.13618763853681537,0,0.16908819344089202,Trung bình,2,13.62,0,1,0,2082,53.04
285,2025-01-01,2025,Finance,Financial Analyst,0,0.24443431778074076,1,0.16908819344089202,Cao,3,24.44,1,0,0,706,84.09
286,2025-01-01,2025,Sales,Account Manager,0,0.0728043681517763,0,0.16908819344089202,Thấp,1,7.28,0,0,1,3905,11.89
288,2025-01-01,2025,Sales,Sales Executive,0,0.1001351659916605,0,0.16908819344089202,Thấp,1,10.01,0,0,1,2996,32.41
289,2025-01-01,2025,Human Resources,Recruiter,0,0.13507550797655113,0,0.16908819344089202,Trung bình,2,13.51,0,1,0,2111,52.38
290,2025-01-01,2025,Information Technology,QA Engineer,1,0.3064739164792241,1,0.16908819344089202,Cao,3,30.65,1,0,0,305,93.14
296,2025-01-01,2025,Finance,Financial Analyst,0,0.07011689847738914,0,0.16908819344089202,Thấp,1,7.01,0,0,1,3992,9.93
298,2025-01-01,2025,Human Resources,HR Manager,0,0.16214916202685803,0,0.16908819344089202,Trung bình,2,16.21,0,1,0,1582,64.32
299,2025-01-01,2025,Marketing,Marketing Manager,0,0.08269670050434927,0,0.16908819344089202,Thấp,1,8.27,0,0,1,3497,21.1
302,2025-01-01,2025,Operations,Operations Manager,1,0.2634385859695797,1,0.16908819344089202,Cao,3,26.34,1,0,0,553,87.54
304,2025-01-01,2025,Information Technology,Data Analyst,0,0.10283191232333226,0,0.16908819344089202,Trung bình,2,10.28,0,1,0,2923,34.06
309,2025-01-01,2025,Operations,Operations Executive,1,0.25496135523549834,1,0.16908819344089202,Cao,3,25.5,1,0,0,608,86.3
310,2025-01-01,2025,Marketing,Content Specialist,0,0.22601506476796904,1,0.16908819344089202,Cao,3,22.6,1,0,0,859,80.64
311,2025-01-01,2025,Marketing,Marketing Manager,0,0.16189438928743893,0,0.16908819344089202,Trung bình,2,16.19,0,1,0,1589,64.16
314,2025-01-01,2025,Human Resources,Recruiter,0,0.09369808929203266,0,0.16908819344089202,Thấp,1,9.37,0,0,1,3145,29.05
321,2025-01-01,2025,Information Technology,System Administrator,0,0.08618463156487909,0,0.16908819344089202,Thấp,1,8.62,0,0,1,3384,23.65
323,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.23098314764389546,1,0.16908819344089202,Cao,3,23.1,1,0,0,822,81.47
330,2025-01-01,2025,Information Technology,System Administrator,0,0.13017467043204636,0,0.16908819344089202,Trung bình,2,13.02,0,1,0,2240,49.47
331,2025-01-01,2025,Marketing,Marketing Executive,0,0.19676752256936805,1,0.16908819344089202,Cao,3,19.68,1,0,0,1168,73.66
332,2025-01-01,2025,Operations,Operations Manager,0,0.0950090081693984,0,0.16908819344089202,Thấp,1,9.5,0,0,1,3113,29.77
335,2025-01-01,2025,Information Technology,Data Analyst,0,0.08896026812791043,0,0.16908819344089202,Thấp,1,8.9,0,0,1,3294,25.68
338,2025-01-01,2025,Marketing,Marketing Manager,0,0.10764948028669936,0,0.16908819344089202,Trung bình,2,10.76,0,1,0,2822,36.33
339,2025-01-01,2025,Finance,Finance Manager,0,0.1589174391034279,0,0.16908819344089202,Trung bình,2,15.89,0,1,0,1640,63.01
341,2025-01-01,2025,Information Technology,Data Analyst,0,0.08122130601275906,0,0.16908819344089202,Thấp,1,8.12,0,0,1,3561,19.66
346,2025-01-01,2025,Sales,Sales Supervisor,0,0.23256234108070586,1,0.16908819344089202,Cao,3,23.26,1,0,0,806,81.83
347,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.062247816324124856,0,0.16908819344089202,Thấp,1,6.22,0,0,1,4238,4.38
351,2025-01-01,2025,Finance,Financial Analyst,0,0.30739967373067556,1,0.16908819344089202,Cao,3,30.74,1,0,0,302,93.21
353,2025-01-01,2025,Sales,Sales Executive,0,0.07098084964153868,0,0.16908819344089202,Thấp,1,7.1,0,0,1,3967,10.49
354,2025-01-01,2025,Sales,Sales Representative,0,0.12606919750127377,0,0.16908819344089202,Trung bình,2,12.61,0,1,0,2315,47.78
356,2025-01-01,2025,Information Technology,Data Analyst,0,0.12493808316644434,0,0.16908819344089202,Trung bình,2,12.49,0,1,0,2339,47.24
365,2025-01-01,2025,Information Technology,Software Engineer,0,0.10115434669907356,0,0.16908819344089202,Trung bình,2,10.12,0,1,0,2970,32.99
366,2025-01-01,2025,Operations,Operations Executive,0,0.09801566321140334,0,0.16908819344089202,Thấp,1,9.8,0,0,1,3049,31.21
367,2025-01-01,2025,Marketing,Content Specialist,0,0.24523339794824936,1,0.16908819344089202,Cao,3,24.52,1,0,0,697,84.29
368,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1406190418038509,0,0.16908819344089202,Trung bình,2,14.06,0,1,0,1966,55.65
371,2025-01-01,2025,Marketing,Content Specialist,0,0.10371378765353041,0,0.16908819344089202,Trung bình,2,10.37,0,1,0,2905,34.46
372,2025-01-01,2025,Finance,Financial Analyst,0,0.17212612904015798,1,0.16908819344089202,Cao,3,17.21,1,0,0,1451,67.28
374,2025-01-01,2025,Sales,Sales Representative,0,0.16920573303252737,1,0.16908819344089202,Cao,3,16.92,1,0,0,1489,66.42
378,2025-01-01,2025,Human Resources,HR Executive,0,0.07686623513684748,0,0.16908819344089202,Thấp,1,7.69,0,0,1,3752,15.35
379,2025-01-01,2025,Finance,Internal Auditor,0,0.06373020838162781,0,0.16908819344089202,Thấp,1,6.37,0,0,1,4195,5.35
380,2025-01-01,2025,Finance,Financial Analyst,0,0.15313313816430163,0,0.16908819344089202,Trung bình,2,15.31,0,1,0,1733,60.91
384,2025-01-01,2025,Human Resources,Recruiter,0,0.24088693283853282,1,0.16908819344089202,Cao,3,24.09,1,0,0,728,83.59
385,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1830905187664161,1,0.16908819344089202,Cao,3,18.31,1,0,0,1302,70.64
387,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.06501643297299843,0,0.16908819344089202,Thấp,1,6.5,0,0,1,4148,6.41
388,2025-01-01,2025,Human Resources,HR Manager,0,0.0635146148740233,0,0.16908819344089202,Thấp,1,6.35,0,0,1,4198,5.28
389,2025-01-01,2025,Marketing,Content Specialist,0,0.15182236109102162,0,0.16908819344089202,Trung bình,2,15.18,0,1,0,1755,60.42
391,2025-01-01,2025,Information Technology,IT Support,0,0.17964599931484915,1,0.16908819344089202,Cao,3,17.96,1,0,0,1340,69.78
394,2025-01-01,2025,Finance,Financial Analyst,0,0.2213258930263566,1,0.16908819344089202,Cao,3,22.13,1,0,0,901,79.69
395,2025-01-01,2025,Human Resources,Recruiter,1,0.41782704419639743,1,0.16908819344089202,Cao,3,41.78,1,0,0,29,99.37
402,2025-01-01,2025,Sales,Sales Representative,0,0.07926063005603569,0,0.16908819344089202,Thấp,1,7.93,0,0,1,3652,17.6
405,2025-01-01,2025,Information Technology,Software Engineer,0,0.1982127027932677,1,0.16908819344089202,Cao,3,19.82,1,0,0,1154,73.98
406,2025-01-01,2025,Human Resources,C&B Specialist,0,0.24719073443044653,1,0.16908819344089202,Cao,3,24.72,1,0,0,686,84.54
408,2025-01-01,2025,Operations,Operations Manager,0,0.08668920498460432,0,0.16908819344089202,Thấp,1,8.67,0,0,1,3368,24.01
411,2025-01-01,2025,Human Resources,HR Manager,0,0.15730951563153925,0,0.16908819344089202,Trung bình,2,15.73,0,1,0,1664,62.47
413,2025-01-01,2025,Human Resources,HR Manager,0,0.10010754398284986,0,0.16908819344089202,Thấp,1,10.01,0,0,1,2998,32.36
414,2025-01-01,2025,Sales,Sales Executive,0,0.25347459160645086,1,0.16908819344089202,Cao,3,25.35,1,0,0,627,85.87
418,2025-01-01,2025,Information Technology,Software Engineer,0,0.14765413500749328,0,0.16908819344089202,Trung bình,2,14.77,0,1,0,1835,58.61
419,2025-01-01,2025,Finance,Internal Auditor,0,0.21238745228029068,1,0.16908819344089202,Cao,3,21.24,1,0,0,1007,77.3
423,2025-01-01,2025,Finance,Internal Auditor,0,0.11406124972006244,0,0.16908819344089202,Trung bình,2,11.41,0,1,0,2623,40.83
424,2025-01-01,2025,Marketing,Marketing Executive,0,0.07188351725704191,0,0.16908819344089202,Thấp,1,7.19,0,0,1,3933,11.26
431,2025-01-01,2025,Finance,Financial Analyst,0,0.0818145316471408,0,0.16908819344089202,Thấp,1,8.18,0,0,1,3535,20.24
433,2025-01-01,2025,Sales,Sales Supervisor,0,0.10916254674632027,0,0.16908819344089202,Trung bình,2,10.92,0,1,0,2774,37.42
434,2025-01-01,2025,Human Resources,Recruiter,0,0.19549523931769286,1,0.16908819344089202,Cao,3,19.55,1,0,0,1177,73.46
435,2025-01-01,2025,Finance,Internal Auditor,0,0.09513818528377588,0,0.16908819344089202,Thấp,1,9.51,0,0,1,3111,29.81
