MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec,NguongDuDoan
187,2025-01-01,2025,Finance,Accountant,0,0.05102040816326531,0,0.2
189,2025-01-01,2025,Finance,Financial Analyst,0,0.0681453768038482,0,0.2
190,2025-01-01,2025,Sales,Sales Representative,0,0.4198473282442748,1,0.2
192,2025-01-01,2025,Operations,Procurement Specialist,0,0.4198473282442748,1,0.2
193,2025-01-01,2025,Information Technology,Data Analyst,0,0.34782608695652173,1,0.2
194,2025-01-01,2025,Finance,Financial Analyst,0,0.07101167315175097,0,0.2
195,2025-01-01,2025,Information Technology,QA Engineer,0,0.13513513513513514,0,0.2
198,2025-01-01,2025,Finance,Finance Manager,0,0.11397627643115008,0,0.2
199,2025-01-01,2025,Information Technology,IT Support,0,0.0681453768038482,0,0.2
200,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.06978233034571063,0,0.2
201,2025-01-01,2025,Information Technology,IT Support,0,0.0681453768038482,0,0.2
205,2025-01-01,2025,Operations,Operations Manager,0,0.15979381443298968,0,0.2
206,2025-01-01,2025,Information Technology,QA Engineer,0,0.05102040816326531,0,0.2
210,2025-01-01,2025,Sales,Sales Executive,0,0.12382739212007504,0,0.2
211,2025-01-01,2025,Finance,Financial Analyst,0,0.11397627643115008,0,0.2
213,2025-01-01,2025,Sales,Sales Supervisor,0,0.11397627643115008,0,0.2
216,2025-01-01,2025,Operations,Operations Executive,0,0.0935672514619883,0,0.2
218,2025-01-01,2025,Information Technology,IT Support,0,0.29411764705882354,1,0.2
219,2025-01-01,2025,Finance,Internal Auditor,0,0.40318302387267907,1,0.2
222,2025-01-01,2025,Sales,Sales Executive,0,0.0935672514619883,0,0.2
223,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.4198473282442748,1,0.2
224,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.21639344262295082,1,0.2
228,2025-01-01,2025,Information Technology,Data Analyst,0,0.07101167315175097,0,0.2
229,2025-01-01,2025,Human Resources,C&B Specialist,0,0.0935672514619883,0,0.2
233,2025-01-01,2025,Sales,Account Manager,0,0.15187376725838264,0,0.2
234,2025-01-01,2025,Finance,Accountant,0,0.21052631578947367,1,0.2
236,2025-01-01,2025,Marketing,Content Specialist,0,0.07101167315175097,0,0.2
237,2025-01-01,2025,Operations,Operations Manager,1,0.6548672566371682,1,0.2
238,2025-01-01,2025,Human Resources,HR Manager,0,0.11397627643115008,0,0.2
241,2025-01-01,2025,Finance,Internal Auditor,0,0.0935672514619883,0,0.2
244,2025-01-01,2025,Marketing,Marketing Executive,1,0.1956521739130435,0,0.2
245,2025-01-01,2025,Finance,Finance Manager,0,0.07101167315175097,0,0.2
249,2025-01-01,2025,Marketing,Marketing Executive,0,0.03574033552151714,0,0.2
250,2025-01-01,2025,Marketing,Marketing Executive,1,0.40318302387267907,1,0.2
252,2025-01-01,2025,Information Technology,Data Analyst,0,0.15979381443298968,0,0.2
253,2025-01-01,2025,Sales,Sales Representative,0,0.21639344262295082,1,0.2
255,2025-01-01,2025,Sales,Sales Executive,1,0.2163265306122449,1,0.2
257,2025-01-01,2025,Sales,Sales Executive,0,0.1179245283018868,0,0.2
259,2025-01-01,2025,Sales,Sales Representative,0,0.22927879440258342,1,0.2
262,2025-01-01,2025,Operations,Operations Manager,1,0.1179245283018868,0,0.2
268,2025-01-01,2025,Information Technology,QA Engineer,0,0.12382739212007504,0,0.2
272,2025-01-01,2025,Sales,Account Manager,0,0.21639344262295082,1,0.2
273,2025-01-01,2025,Human Resources,Recruiter,0,0.12382739212007504,0,0.2
275,2025-01-01,2025,Information Technology,IT Support,0,0.05102040816326531,0,0.2
277,2025-01-01,2025,Operations,Operations Manager,0,0.1610337972166998,0,0.2
278,2025-01-01,2025,Marketing,Marketing Manager,0,0.03574033552151714,0,0.2
282,2025-01-01,2025,Marketing,Marketing Manager,0,0.1179245283018868,0,0.2
284,2025-01-01,2025,Finance,Finance Manager,0,0.13513513513513514,0,0.2
285,2025-01-01,2025,Finance,Financial Analyst,0,0.22927879440258342,1,0.2
286,2025-01-01,2025,Sales,Account Manager,0,0.0681453768038482,0,0.2
288,2025-01-01,2025,Sales,Sales Executive,0,0.03816793893129771,0,0.2
289,2025-01-01,2025,Human Resources,Recruiter,0,0.13513513513513514,0,0.2
290,2025-01-01,2025,Information Technology,QA Engineer,1,0.32432432432432434,1,0.2
296,2025-01-01,2025,Finance,Financial Analyst,0,0.05102040816326531,0,0.2
298,2025-01-01,2025,Human Resources,HR Manager,0,0.1610337972166998,0,0.2
299,2025-01-01,2025,Marketing,Marketing Manager,0,0.06978233034571063,0,0.2
302,2025-01-01,2025,Operations,Operations Manager,1,0.33969465648854963,1,0.2
304,2025-01-01,2025,Information Technology,Data Analyst,0,0.0681453768038482,0,0.2
309,2025-01-01,2025,Operations,Operations Executive,1,0.3035143769968051,1,0.2
310,2025-01-01,2025,Marketing,Content Specialist,0,0.33969465648854963,1,0.2
311,2025-01-01,2025,Marketing,Marketing Manager,0,0.15187376725838264,0,0.2
314,2025-01-01,2025,Human Resources,Recruiter,0,0.06978233034571063,0,0.2
321,2025-01-01,2025,Information Technology,System Administrator,0,0.07101167315175097,0,0.2
323,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1986970684039088,0,0.2
330,2025-01-01,2025,Information Technology,System Administrator,0,0.12827225130890052,0,0.2
331,2025-01-01,2025,Marketing,Marketing Executive,0,0.15187376725838264,0,0.2
332,2025-01-01,2025,Operations,Operations Manager,0,0.0681453768038482,0,0.2
335,2025-01-01,2025,Information Technology,Data Analyst,0,0.06978233034571063,0,0.2
338,2025-01-01,2025,Marketing,Marketing Manager,0,0.0935672514619883,0,0.2
339,2025-01-01,2025,Finance,Finance Manager,0,0.1610337972166998,0,0.2
341,2025-01-01,2025,Information Technology,Data Analyst,0,0.05102040816326531,0,0.2
346,2025-01-01,2025,Sales,Sales Supervisor,0,0.21052631578947367,1,0.2
347,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.03574033552151714,0,0.2
351,2025-01-01,2025,Finance,Financial Analyst,0,0.29411764705882354,1,0.2
353,2025-01-01,2025,Sales,Sales Executive,0,0.05102040816326531,0,0.2
354,2025-01-01,2025,Sales,Sales Representative,0,0.12827225130890052,0,0.2
356,2025-01-01,2025,Information Technology,Data Analyst,0,0.11397627643115008,0,0.2
365,2025-01-01,2025,Information Technology,Software Engineer,0,0.12382739212007504,0,0.2
366,2025-01-01,2025,Operations,Operations Executive,0,0.07101167315175097,0,0.2
367,2025-01-01,2025,Marketing,Content Specialist,0,0.29411764705882354,1,0.2
368,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13513513513513514,0,0.2
371,2025-01-01,2025,Marketing,Content Specialist,0,0.11397627643115008,0,0.2
372,2025-01-01,2025,Finance,Financial Analyst,0,0.15187376725838264,0,0.2
374,2025-01-01,2025,Sales,Sales Representative,0,0.21639344262295082,1,0.2
378,2025-01-01,2025,Human Resources,HR Executive,0,0.0681453768038482,0,0.2
379,2025-01-01,2025,Finance,Internal Auditor,0,0.05102040816326531,0,0.2
380,2025-01-01,2025,Finance,Financial Analyst,0,0.07101167315175097,0,0.2
384,2025-01-01,2025,Human Resources,Recruiter,0,0.3035143769968051,1,0.2
385,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.15187376725838264,0,0.2
387,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.05102040816326531,0,0.2
388,2025-01-01,2025,Human Resources,HR Manager,0,0.0681453768038482,0,0.2
389,2025-01-01,2025,Marketing,Content Specialist,0,0.15187376725838264,0,0.2
391,2025-01-01,2025,Information Technology,IT Support,0,0.15979381443298968,0,0.2
394,2025-01-01,2025,Finance,Financial Analyst,0,0.1956521739130435,0,0.2
395,2025-01-01,2025,Human Resources,Recruiter,1,0.5116959064327485,1,0.2
402,2025-01-01,2025,Sales,Sales Representative,0,0.0681453768038482,0,0.2
405,2025-01-01,2025,Information Technology,Software Engineer,0,0.1956521739130435,0,0.2
406,2025-01-01,2025,Human Resources,C&B Specialist,0,0.33969465648854963,1,0.2
408,2025-01-01,2025,Operations,Operations Manager,0,0.05102040816326531,0,0.2
411,2025-01-01,2025,Human Resources,HR Manager,0,0.1610337972166998,0,0.2
413,2025-01-01,2025,Human Resources,HR Manager,0,0.1179245283018868,0,0.2
414,2025-01-01,2025,Sales,Sales Executive,0,0.2777777777777778,1,0.2
418,2025-01-01,2025,Information Technology,Software Engineer,0,0.13513513513513514,0,0.2
419,2025-01-01,2025,Finance,Internal Auditor,0,0.13793103448275862,0,0.2
423,2025-01-01,2025,Finance,Internal Auditor,0,0.12382739212007504,0,0.2
424,2025-01-01,2025,Marketing,Marketing Executive,0,0.03574033552151714,0,0.2
431,2025-01-01,2025,Finance,Financial Analyst,0,0.0681453768038482,0,0.2
433,2025-01-01,2025,Sales,Sales Supervisor,0,0.12382739212007504,0,0.2
434,2025-01-01,2025,Human Resources,Recruiter,0,0.1956521739130435,0,0.2
435,2025-01-01,2025,Finance,Internal Auditor,0,0.06978233034571063,0,0.2
436,2025-01-01,2025,Sales,Account Manager,0,0.40318302387267907,1,0.2
437,2025-01-01,2025,Finance,Accountant,0,0.33969465648854963,1,0.2
438,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.13513513513513514,0,0.2
444,2025-01-01,2025,Human Resources,C&B Specialist,0,0.22927879440258342,1,0.2
447,2025-01-01,2025,Marketing,Marketing Manager,0,0.11397627643115008,0,0.2
448,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.5116959064327485,1,0.2
450,2025-01-01,2025,Marketing,Content Specialist,0,0.03574033552151714,0,0.2
451,2025-01-01,2025,Marketing,Content Specialist,1,0.32432432432432434,1,0.2
454,2025-01-01,2025,Information Technology,QA Engineer,0,0.29411764705882354,1,0.2
459,2025-01-01,2025,Information Technology,IT Support,0,0.21639344262295082,1,0.2
460,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.15187376725838264,0,0.2
464,2025-01-01,2025,Information Technology,Software Engineer,0,0.11397627643115008,0,0.2
467,2025-01-01,2025,Finance,Financial Analyst,0,0.15187376725838264,0,0.2
469,2025-01-01,2025,Sales,Sales Supervisor,0,0.40318302387267907,1,0.2
477,2025-01-01,2025,Sales,Sales Representative,0,0.06978233034571063,0,0.2
479,2025-01-01,2025,Information Technology,QA Engineer,0,0.11397627643115008,0,0.2
480,2025-01-01,2025,Information Technology,QA Engineer,0,0.12382739212007504,0,0.2
481,2025-01-01,2025,Human Resources,HR Executive,0,0.35294117647058826,1,0.2
482,2025-01-01,2025,Human Resources,Recruiter,1,0.40318302387267907,1,0.2
483,2025-01-01,2025,Information Technology,Software Engineer,0,0.29411764705882354,1,0.2
488,2025-01-01,2025,Operations,Operations Executive,0,0.19791666666666666,0,0.2
489,2025-01-01,2025,Information Technology,Software Engineer,0,0.12382739212007504,0,0.2
490,2025-01-01,2025,Finance,Internal Auditor,0,0.21639344262295082,1,0.2
491,2025-01-01,2025,Human Resources,HR Manager,0,0.06978233034571063,0,0.2
492,2025-01-01,2025,Human Resources,Recruiter,1,0.40318302387267907,1,0.2
494,2025-01-01,2025,Operations,Operations Manager,0,0.0935672514619883,0,0.2
495,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.3035143769968051,1,0.2
497,2025-01-01,2025,Sales,Sales Representative,0,0.40318302387267907,1,0.2
499,2025-01-01,2025,Information Technology,Data Analyst,0,0.4198473282442748,1,0.2
501,2025-01-01,2025,Sales,Sales Representative,0,0.0935672514619883,0,0.2
505,2025-01-01,2025,Finance,Accountant,0,0.36619718309859156,1,0.2
508,2025-01-01,2025,Operations,Procurement Specialist,0,0.12382739212007504,0,0.2
515,2025-01-01,2025,Operations,Operations Executive,1,0.1610337972166998,0,0.2
518,2025-01-01,2025,Information Technology,Data Analyst,0,0.07101167315175097,0,0.2
527,2025-01-01,2025,Human Resources,HR Manager,0,0.2163265306122449,1,0.2
529,2025-01-01,2025,Human Resources,HR Manager,1,0.1956521739130435,0,0.2
530,2025-01-01,2025,Operations,Operations Executive,0,0.12827225130890052,0,0.2
532,2025-01-01,2025,Human Resources,C&B Specialist,0,0.1610337972166998,0,0.2
533,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1610337972166998,0,0.2
542,2025-01-01,2025,Human Resources,Recruiter,0,0.0681453768038482,0,0.2
543,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.7,1,0.2
547,2025-01-01,2025,Operations,Procurement Specialist,0,0.06978233034571063,0,0.2
549,2025-01-01,2025,Human Resources,HR Manager,0,0.1956521739130435,0,0.2
550,2025-01-01,2025,Human Resources,HR Manager,0,0.0681453768038482,0,0.2
552,2025-01-01,2025,Sales,Sales Supervisor,0,0.3035143769968051,1,0.2
553,2025-01-01,2025,Marketing,Content Specialist,1,0.42701525054466233,1,0.2
555,2025-01-01,2025,Marketing,Marketing Executive,0,0.22927879440258342,1,0.2
561,2025-01-01,2025,Operations,Procurement Specialist,0,0.06978233034571063,0,0.2
562,2025-01-01,2025,Marketing,Marketing Executive,1,0.35294117647058826,1,0.2
563,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.16176470588235295,0,0.2
564,2025-01-01,2025,Operations,Operations Executive,0,0.12382739212007504,0,0.2
565,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1956521739130435,0,0.2
567,2025-01-01,2025,Human Resources,C&B Specialist,0,0.12382739212007504,0,0.2
568,2025-01-01,2025,Operations,Procurement Specialist,0,0.0681453768038482,0,0.2
575,2025-01-01,2025,Human Resources,Recruiter,0,0.29411764705882354,1,0.2
583,2025-01-01,2025,Human Resources,Recruiter,0,0.1956521739130435,0,0.2
584,2025-01-01,2025,Finance,Accountant,0,0.07101167315175097,0,0.2
585,2025-01-01,2025,Finance,Internal Auditor,0,0.07101167315175097,0,0.2
586,2025-01-01,2025,Human Resources,HR Manager,1,0.2242152466367713,1,0.2
589,2025-01-01,2025,Human Resources,Recruiter,0,0.3035143769968051,1,0.2
590,2025-01-01,2025,Information Technology,Data Analyst,0,0.06978233034571063,0,0.2
591,2025-01-01,2025,Finance,Finance Manager,0,0.0681453768038482,0,0.2
593,2025-01-01,2025,Marketing,Content Specialist,0,0.29411764705882354,1,0.2
595,2025-01-01,2025,Human Resources,HR Manager,0,0.2163265306122449,1,0.2
598,2025-01-01,2025,Information Technology,Data Analyst,0,0.0681453768038482,0,0.2
599,2025-01-01,2025,Operations,Operations Manager,0,0.05102040816326531,0,0.2
600,2025-01-01,2025,Finance,Internal Auditor,0,0.1956521739130435,0,0.2
602,2025-01-01,2025,Human Resources,HR Manager,0,0.21639344262295082,1,0.2
607,2025-01-01,2025,Sales,Sales Executive,0,0.1956521739130435,0,0.2
608,2025-01-01,2025,Human Resources,HR Executive,0,0.06978233034571063,0,0.2
610,2025-01-01,2025,Sales,Account Manager,0,0.0681453768038482,0,0.2
611,2025-01-01,2025,Information Technology,QA Engineer,0,0.05102040816326531,0,0.2
612,2025-01-01,2025,Operations,Operations Executive,0,0.07101167315175097,0,0.2
613,2025-01-01,2025,Sales,Account Manager,0,0.0681453768038482,0,0.2
614,2025-01-01,2025,Operations,Operations Executive,0,0.16176470588235295,0,0.2
615,2025-01-01,2025,Information Technology,IT Support,1,0.29411764705882354,1,0.2
616,2025-01-01,2025,Marketing,Content Specialist,0,0.42701525054466233,1,0.2
618,2025-01-01,2025,Human Resources,HR Manager,0,0.06978233034571063,0,0.2
619,2025-01-01,2025,Marketing,Content Specialist,0,0.22927879440258342,1,0.2
622,2025-01-01,2025,Information Technology,IT Support,0,0.0935672514619883,0,0.2
624,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.05102040816326531,0,0.2
626,2025-01-01,2025,Finance,Accountant,0,0.1610337972166998,0,0.2
631,2025-01-01,2025,Finance,Finance Manager,0,0.13513513513513514,0,0.2
632,2025-01-01,2025,Information Technology,Data Analyst,0,0.0681453768038482,0,0.2
633,2025-01-01,2025,Finance,Accountant,0,0.1956521739130435,0,0.2
636,2025-01-01,2025,Sales,Account Manager,0,0.13513513513513514,0,0.2
637,2025-01-01,2025,Information Technology,IT Support,0,0.07101167315175097,0,0.2
638,2025-01-01,2025,Finance,Accountant,0,0.05102040816326531,0,0.2
639,2025-01-01,2025,Human Resources,Recruiter,0,0.2608695652173913,1,0.2
641,2025-01-01,2025,Operations,Operations Manager,0,0.0681453768038482,0,0.2
642,2025-01-01,2025,Information Technology,Software Engineer,0,0.0935672514619883,0,0.2
644,2025-01-01,2025,Finance,Accountant,0,0.16176470588235295,0,0.2
646,2025-01-01,2025,Finance,Financial Analyst,0,0.2163265306122449,1,0.2
647,2025-01-01,2025,Marketing,Marketing Manager,0,0.03574033552151714,0,0.2
648,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.21052631578947367,1,0.2
649,2025-01-01,2025,Sales,Sales Representative,1,0.1610337972166998,0,0.2
650,2025-01-01,2025,Finance,Financial Analyst,0,0.22927879440258342,1,0.2
651,2025-01-01,2025,Operations,Procurement Specialist,1,0.0681453768038482,0,0.2
652,2025-01-01,2025,Sales,Sales Supervisor,0,0.5116959064327485,1,0.2
653,2025-01-01,2025,Sales,Sales Representative,0,0.06978233034571063,0,0.2
659,2025-01-01,2025,Sales,Sales Executive,0,0.42701525054466233,1,0.2
661,2025-01-01,2025,Human Resources,HR Manager,0,0.1179245283018868,0,0.2
663,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06978233034571063,0,0.2
664,2025-01-01,2025,Information Technology,Data Analyst,1,0.3035143769968051,1,0.2
666,2025-01-01,2025,Information Technology,Data Analyst,0,0.05102040816326531,0,0.2
670,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1179245283018868,0,0.2
671,2025-01-01,2025,Human Resources,HR Manager,0,0.0681453768038482,0,0.2
673,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.11397627643115008,0,0.2
675,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.06978233034571063,0,0.2
676,2025-01-01,2025,Finance,Finance Manager,0,0.15187376725838264,0,0.2
680,2025-01-01,2025,Human Resources,C&B Specialist,0,0.21639344262295082,1,0.2
683,2025-01-01,2025,Human Resources,HR Executive,0,0.11397627643115008,0,0.2
684,2025-01-01,2025,Sales,Sales Supervisor,0,0.0935672514619883,0,0.2
685,2025-01-01,2025,Operations,Procurement Specialist,0,0.05102040816326531,0,0.2
691,2025-01-01,2025,Marketing,Marketing Executive,0,0.16176470588235295,0,0.2
692,2025-01-01,2025,Human Resources,C&B Specialist,0,0.21639344262295082,1,0.2
693,2025-01-01,2025,Sales,Sales Supervisor,0,0.7,1,0.2
694,2025-01-01,2025,Marketing,Marketing Manager,0,0.21639344262295082,1,0.2
696,2025-01-01,2025,Finance,Finance Manager,0,0.11397627643115008,0,0.2
701,2025-01-01,2025,Finance,Financial Analyst,0,0.11397627643115008,0,0.2
703,2025-01-01,2025,Finance,Financial Analyst,0,0.05102040816326531,0,0.2
705,2025-01-01,2025,Human Resources,C&B Specialist,0,0.0681453768038482,0,0.2
709,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.29411764705882354,1,0.2
710,2025-01-01,2025,Information Technology,Data Analyst,0,0.05102040816326531,0,0.2
715,2025-01-01,2025,Information Technology,IT Support,0,0.1179245283018868,0,0.2
720,2025-01-01,2025,Sales,Sales Representative,1,0.21639344262295082,1,0.2
721,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.22927879440258342,1,0.2
731,2025-01-01,2025,Sales,Sales Representative,0,0.1956521739130435,0,0.2
734,2025-01-01,2025,Finance,Internal Auditor,0,0.11397627643115008,0,0.2
735,2025-01-01,2025,Information Technology,Data Analyst,0,0.05102040816326531,0,0.2
736,2025-01-01,2025,Operations,Operations Manager,0,0.6548672566371682,1,0.2
738,2025-01-01,2025,Operations,Operations Manager,0,0.0681453768038482,0,0.2
744,2025-01-01,2025,Information Technology,Software Engineer,0,0.40318302387267907,1,0.2
745,2025-01-01,2025,Operations,Procurement Specialist,0,0.0681453768038482,0,0.2
748,2025-01-01,2025,Information Technology,Data Analyst,0,0.07101167315175097,0,0.2
750,2025-01-01,2025,Finance,Financial Analyst,0,0.0935672514619883,0,0.2
752,2025-01-01,2025,Sales,Sales Executive,0,0.05102040816326531,0,0.2
753,2025-01-01,2025,Marketing,Marketing Executive,0,0.32432432432432434,1,0.2
758,2025-01-01,2025,Operations,Procurement Specialist,0,0.06978233034571063,0,0.2
759,2025-01-01,2025,Sales,Sales Executive,0,0.1179245283018868,0,0.2
