MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec
371,2025-01-01,2025,Marketing,Content Specialist,0,0.09299392966562234,0
372,2025-01-01,2025,Finance,Financial Analyst,0,0.143199225633943,0
374,2025-01-01,2025,Sales,Sales Representative,0,0.14063511434973888,0
378,2025-01-01,2025,Human Resources,HR Executive,0,0.09831314372148148,0
379,2025-01-01,2025,Finance,Internal Auditor,0,0.07845084911616558,0
380,2025-01-01,2025,Finance,Financial Analyst,0,0.16605421208500173,1
384,2025-01-01,2025,Human Resources,Recruiter,0,0.20490951945483152,1
385,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09314741921436775,0
387,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.07961869624791187,0
388,2025-01-01,2025,Human Resources,HR Manager,0,0.09768155144249696,0
389,2025-01-01,2025,Marketing,Content Specialist,0,0.14877652936950553,0
391,2025-01-01,2025,Information Technology,IT Support,0,0.17641411108179067,1
394,2025-01-01,2025,Finance,Financial Analyst,0,0.15322333681540162,0
395,2025-01-01,2025,Human Resources,Recruiter,1,0.25363033614919356,1
402,2025-01-01,2025,Sales,Sales Representative,0,0.047946619325420645,0
405,2025-01-01,2025,Information Technology,Software Engineer,0,0.1137242626299817,0
406,2025-01-01,2025,Human Resources,C&B Specialist,0,0.11994397490504564,0
408,2025-01-01,2025,Operations,Operations Manager,0,0.12274066516659195,0
411,2025-01-01,2025,Human Resources,HR Manager,0,0.13019560693127205,0
413,2025-01-01,2025,Human Resources,HR Manager,0,0.09478649591687556,0
414,2025-01-01,2025,Sales,Sales Executive,0,0.14958319244040305,0
418,2025-01-01,2025,Information Technology,Software Engineer,0,0.13506893408837117,0
419,2025-01-01,2025,Finance,Internal Auditor,0,0.26235669612110524,1
423,2025-01-01,2025,Finance,Internal Auditor,0,0.0724860293550527,0
424,2025-01-01,2025,Marketing,Marketing Executive,0,0.0698189085489051,0
431,2025-01-01,2025,Finance,Financial Analyst,0,0.07732617997415174,0
433,2025-01-01,2025,Sales,Sales Supervisor,0,0.16057862127945102,1
434,2025-01-01,2025,Human Resources,Recruiter,0,0.12579152350742212,0
435,2025-01-01,2025,Finance,Internal Auditor,0,0.10609355395925953,0
436,2025-01-01,2025,Sales,Account Manager,0,0.22256583065134394,1
437,2025-01-01,2025,Finance,Accountant,0,0.1838054710104033,1
438,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.10731865140816009,0
444,2025-01-01,2025,Human Resources,C&B Specialist,0,0.16623622687786505,1
447,2025-01-01,2025,Marketing,Marketing Manager,0,0.09209476848959552,0
448,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.22646504613975155,1
450,2025-01-01,2025,Marketing,Content Specialist,0,0.1000811433021952,0
451,2025-01-01,2025,Marketing,Content Specialist,1,0.17086735199005523,1
454,2025-01-01,2025,Information Technology,QA Engineer,0,0.2289301635104235,1
459,2025-01-01,2025,Information Technology,IT Support,0,0.1953676403097149,1
460,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.12541305683341053,0
464,2025-01-01,2025,Information Technology,Software Engineer,0,0.13348635449422924,0
467,2025-01-01,2025,Finance,Financial Analyst,0,0.15700960237510767,0
469,2025-01-01,2025,Sales,Sales Supervisor,0,0.27750216397999117,1
477,2025-01-01,2025,Sales,Sales Representative,0,0.07953001460276243,0
479,2025-01-01,2025,Information Technology,QA Engineer,0,0.1815294064293149,1
480,2025-01-01,2025,Information Technology,QA Engineer,0,0.15660904233728928,0
481,2025-01-01,2025,Human Resources,HR Executive,0,0.23359598421181166,1
482,2025-01-01,2025,Human Resources,Recruiter,1,0.24912771078198573,1
483,2025-01-01,2025,Information Technology,Software Engineer,0,0.3072110482286521,1
488,2025-01-01,2025,Operations,Operations Executive,0,0.15888774732548294,1
489,2025-01-01,2025,Information Technology,Software Engineer,0,0.14212415000946305,0
490,2025-01-01,2025,Finance,Internal Auditor,0,0.1658696279559182,1
491,2025-01-01,2025,Human Resources,HR Manager,0,0.04797055234568494,0
492,2025-01-01,2025,Human Resources,Recruiter,1,0.20247155945189116,1
494,2025-01-01,2025,Operations,Operations Manager,0,0.1343753078781127,0
495,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2958877245668767,1
497,2025-01-01,2025,Sales,Sales Representative,0,0.18996429151259886,1
499,2025-01-01,2025,Information Technology,Data Analyst,0,0.2709348041994106,1
501,2025-01-01,2025,Sales,Sales Representative,0,0.16341711532073297,1
505,2025-01-01,2025,Finance,Accountant,0,0.14006597213700794,0
508,2025-01-01,2025,Operations,Procurement Specialist,0,0.10492693874310517,0
515,2025-01-01,2025,Operations,Operations Executive,1,0.1646901342023022,1
518,2025-01-01,2025,Information Technology,Data Analyst,0,0.10516233723996007,0
527,2025-01-01,2025,Human Resources,HR Manager,0,0.1823985773590988,1
529,2025-01-01,2025,Human Resources,HR Manager,1,0.1048332808495177,0
530,2025-01-01,2025,Operations,Operations Executive,0,0.16905180053436117,1
532,2025-01-01,2025,Human Resources,C&B Specialist,0,0.16517557523019755,1
533,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.13193732832918512,0
542,2025-01-01,2025,Human Resources,Recruiter,0,0.0967419802584299,0
543,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.15496682271980136,0
547,2025-01-01,2025,Operations,Procurement Specialist,0,0.07014883730491692,0
549,2025-01-01,2025,Human Resources,HR Manager,0,0.20834463046480453,1
550,2025-01-01,2025,Human Resources,HR Manager,0,0.08240349923295597,0
552,2025-01-01,2025,Sales,Sales Supervisor,0,0.2633677671139766,1
553,2025-01-01,2025,Marketing,Content Specialist,1,0.26327315153537195,1
555,2025-01-01,2025,Marketing,Marketing Executive,0,0.22575174464099554,1
561,2025-01-01,2025,Operations,Procurement Specialist,0,0.05606941196785464,0
562,2025-01-01,2025,Marketing,Marketing Executive,1,0.28434046835665006,1
563,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.13274068864969618,0
564,2025-01-01,2025,Operations,Operations Executive,0,0.10144751262348282,0
565,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1325416177092099,0
567,2025-01-01,2025,Human Resources,C&B Specialist,0,0.1394604855419843,0
568,2025-01-01,2025,Operations,Procurement Specialist,0,0.03653281386044026,0
575,2025-01-01,2025,Human Resources,Recruiter,0,0.22950114964997045,1
583,2025-01-01,2025,Human Resources,Recruiter,0,0.16478970730942485,1
584,2025-01-01,2025,Finance,Accountant,0,0.1059135447511272,0
585,2025-01-01,2025,Finance,Internal Auditor,0,0.15700920687635175,0
586,2025-01-01,2025,Human Resources,HR Manager,1,0.20607585879441148,1
589,2025-01-01,2025,Human Resources,Recruiter,0,0.28924779036575365,1
590,2025-01-01,2025,Information Technology,Data Analyst,0,0.12546011756588138,0
591,2025-01-01,2025,Finance,Finance Manager,0,0.08698714178247036,0
593,2025-01-01,2025,Marketing,Content Specialist,0,0.26841714388910065,1
595,2025-01-01,2025,Human Resources,HR Manager,0,0.15628350308923836,0
598,2025-01-01,2025,Information Technology,Data Analyst,0,0.11627139059199113,0
599,2025-01-01,2025,Operations,Operations Manager,0,0.10675643295757332,0
600,2025-01-01,2025,Finance,Internal Auditor,0,0.27506346462653286,1
602,2025-01-01,2025,Human Resources,HR Manager,0,0.136280171112287,0
607,2025-01-01,2025,Sales,Sales Executive,0,0.16401801704085264,1
608,2025-01-01,2025,Human Resources,HR Executive,0,0.07720774734067945,0
610,2025-01-01,2025,Sales,Account Manager,0,0.12344557780952022,0
611,2025-01-01,2025,Information Technology,QA Engineer,0,0.05571200894947106,0
612,2025-01-01,2025,Operations,Operations Executive,0,0.10937116026539451,0
613,2025-01-01,2025,Sales,Account Manager,0,0.09433826059118292,0
614,2025-01-01,2025,Operations,Operations Executive,0,0.09720820561189433,0
615,2025-01-01,2025,Information Technology,IT Support,1,0.22558196410163678,1
616,2025-01-01,2025,Marketing,Content Specialist,0,0.2880080880179757,1
618,2025-01-01,2025,Human Resources,HR Manager,0,0.0767365456575863,0
619,2025-01-01,2025,Marketing,Content Specialist,0,0.1446055405344452,0
622,2025-01-01,2025,Information Technology,IT Support,0,0.09680339681355561,0
624,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.01895346051918615,0
626,2025-01-01,2025,Finance,Accountant,0,0.11937011439081845,0
631,2025-01-01,2025,Finance,Finance Manager,0,0.06782706941541959,0
632,2025-01-01,2025,Information Technology,Data Analyst,0,0.08619517112699052,0
633,2025-01-01,2025,Finance,Accountant,0,0.26606462844438,1
636,2025-01-01,2025,Sales,Account Manager,0,0.11766397937816077,0
637,2025-01-01,2025,Information Technology,IT Support,0,0.07702290383974174,0
638,2025-01-01,2025,Finance,Accountant,0,0.04701637896020492,0
639,2025-01-01,2025,Human Resources,Recruiter,0,0.22544004227999215,1
641,2025-01-01,2025,Operations,Operations Manager,0,0.07979393241235727,0
642,2025-01-01,2025,Information Technology,Software Engineer,0,0.1454653716934331,0
644,2025-01-01,2025,Finance,Accountant,0,0.09363620682979609,0
646,2025-01-01,2025,Finance,Financial Analyst,0,0.21542317144029385,1
647,2025-01-01,2025,Marketing,Marketing Manager,0,0.028719864840441655,0
648,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.2688593935934038,1
649,2025-01-01,2025,Sales,Sales Representative,1,0.20850997995358486,1
650,2025-01-01,2025,Finance,Financial Analyst,0,0.2654609018638778,1
651,2025-01-01,2025,Operations,Procurement Specialist,1,0.029028728376092702,0
652,2025-01-01,2025,Sales,Sales Supervisor,0,0.26308418948143986,1
653,2025-01-01,2025,Sales,Sales Representative,0,0.04022085701258851,0
659,2025-01-01,2025,Sales,Sales Executive,0,0.3297883352704093,1
661,2025-01-01,2025,Human Resources,HR Manager,0,0.14780395181960526,0
663,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06923942693959699,0
664,2025-01-01,2025,Information Technology,Data Analyst,1,0.21440124274739847,1
666,2025-01-01,2025,Information Technology,Data Analyst,0,0.10977125922300195,0
670,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.15458325965037487,0
671,2025-01-01,2025,Human Resources,HR Manager,0,0.1317193537683225,0
673,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.07358086613909778,0
675,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08659541417676685,0
676,2025-01-01,2025,Finance,Finance Manager,0,0.18988663638096906,1
680,2025-01-01,2025,Human Resources,C&B Specialist,0,0.14250299627870172,0
683,2025-01-01,2025,Human Resources,HR Executive,0,0.0886090383240966,0
684,2025-01-01,2025,Sales,Sales Supervisor,0,0.10929693954595404,0
685,2025-01-01,2025,Operations,Procurement Specialist,0,0.04815320396127825,0
691,2025-01-01,2025,Marketing,Marketing Executive,0,0.06953495552148542,0
692,2025-01-01,2025,Human Resources,C&B Specialist,0,0.18029757202958216,1
693,2025-01-01,2025,Sales,Sales Supervisor,0,0.12002865880246856,0
694,2025-01-01,2025,Marketing,Marketing Manager,0,0.13622769437120374,0
696,2025-01-01,2025,Finance,Finance Manager,0,0.08717141752913922,0
701,2025-01-01,2025,Finance,Financial Analyst,0,0.14393239330429494,0
703,2025-01-01,2025,Finance,Financial Analyst,0,0.03929279212175456,0
705,2025-01-01,2025,Human Resources,C&B Specialist,0,0.07538784194640973,0
709,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.18586258123747068,1
710,2025-01-01,2025,Information Technology,Data Analyst,0,0.058966307079861155,0
715,2025-01-01,2025,Information Technology,IT Support,0,0.1187069406694163,0
720,2025-01-01,2025,Sales,Sales Representative,1,0.11883829223416977,0
721,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1780100453818911,1
731,2025-01-01,2025,Sales,Sales Representative,0,0.1492191651809246,0
734,2025-01-01,2025,Finance,Internal Auditor,0,0.09711550073676631,0
735,2025-01-01,2025,Information Technology,Data Analyst,0,0.05525369399497143,0
736,2025-01-01,2025,Operations,Operations Manager,0,0.4436675022648468,1
738,2025-01-01,2025,Operations,Operations Manager,0,0.07364148102888429,0
744,2025-01-01,2025,Information Technology,Software Engineer,0,0.19776290065186045,1
745,2025-01-01,2025,Operations,Procurement Specialist,0,0.09333788194094553,0
748,2025-01-01,2025,Information Technology,Data Analyst,0,0.10212634444959143,0
750,2025-01-01,2025,Finance,Financial Analyst,0,0.12938511823463583,0
752,2025-01-01,2025,Sales,Sales Executive,0,0.05640825290135467,0
753,2025-01-01,2025,Marketing,Marketing Executive,0,0.25839894587714185,1
758,2025-01-01,2025,Operations,Procurement Specialist,0,0.0934046075622641,0
759,2025-01-01,2025,Sales,Sales Executive,0,0.12245830248411446,0
764,2025-01-01,2025,Human Resources,HR Executive,0,0.06098905837721643,0
766,2025-01-01,2025,Finance,Internal Auditor,0,0.08205980822342322,0
768,2025-01-01,2025,Sales,Sales Supervisor,0,0.04757602955598449,0
770,2025-01-01,2025,Information Technology,System Administrator,0,0.09151207616656697,0
771,2025-01-01,2025,Finance,Internal Auditor,0,0.20409354796473483,1
773,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.20911245265712666,1
775,2025-01-01,2025,Finance,Accountant,0,0.11359406825571985,0
776,2025-01-01,2025,Marketing,Marketing Executive,0,0.0890996718191108,0
777,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.03820204030049209,0
779,2025-01-01,2025,Finance,Finance Manager,1,0.18157074106635288,1
784,2025-01-01,2025,Sales,Sales Executive,0,0.06817895813912209,0
786,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.19837607220299783,1
787,2025-01-01,2025,Finance,Financial Analyst,0,0.04742165911025745,0
789,2025-01-01,2025,Sales,Sales Representative,0,0.17110490063365374,1
790,2025-01-01,2025,Marketing,Content Specialist,0,0.11161048330963172,0
791,2025-01-01,2025,Sales,Sales Supervisor,0,0.10787522735464251,0
792,2025-01-01,2025,Information Technology,Data Analyst,0,0.1411919277970629,0
796,2025-01-01,2025,Information Technology,Software Engineer,0,0.19643323567904836,1
798,2025-01-01,2025,Finance,Finance Manager,0,0.05458755354327227,0
799,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.16112245174781853,1
800,2025-01-01,2025,Marketing,Marketing Manager,0,0.14684191510350558,0
802,2025-01-01,2025,Marketing,Marketing Executive,0,0.26516572931266175,1
803,2025-01-01,2025,Finance,Financial Analyst,0,0.13296051827286476,0
804,2025-01-01,2025,Information Technology,QA Engineer,0,0.06767765760263053,0
805,2025-01-01,2025,Information Technology,Software Engineer,0,0.11321895061238448,0
811,2025-01-01,2025,Operations,Procurement Specialist,0,0.18366685470515404,1
813,2025-01-01,2025,Sales,Account Manager,0,0.05867162598190065,0
815,2025-01-01,2025,Sales,Sales Supervisor,0,0.14274748660746375,0
816,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.12834845237799192,0
818,2025-01-01,2025,Finance,Financial Analyst,0,0.08825139362741415,0
819,2025-01-01,2025,Sales,Sales Executive,0,0.04690693551271864,0
820,2025-01-01,2025,Information Technology,QA Engineer,0,0.146018269634103,0
821,2025-01-01,2025,Human Resources,HR Executive,0,0.08495449790281735,0
824,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.0734459299552926,0
825,2025-01-01,2025,Human Resources,HR Manager,0,0.10782237051446539,0
826,2025-01-01,2025,Operations,Operations Executive,1,0.13729916073613688,0
