MaNV,NgayThang,PhongBan,ChucDanh,ThucTeNghiViec,DuBaoNghiViec,XacSuatNghiViec,XacSuatNghiViecPct,MucRuiRo,Cluster,TenCum
118,2025-01-01,Information Technology,Software Engineer,0,1,0.305534287539931,30.55,Cao,1,Khoi luong cong viec cao - uu tien giu chan
120,2025-01-01,Operations,Warehouse Supervisor,0,0,0.07135780687066388,7.14,Thap,2,It tham nien - Khoi luong cong viec thap
121,2025-01-01,Human Resources,HR Manager,1,0,0.07041239518111678,7.04,Thap,2,It tham nien - Khoi luong cong viec thap
125,2025-01-01,Finance,Internal Auditor,0,1,0.2924023600595752,29.24,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
126,2025-01-01,Marketing,Marketing Executive,0,0,0.09419986958166769,9.42,Thap,3,Cap bac cao - thu nhap cao
127,2025-01-01,Finance,Finance Manager,0,0,0.12231197691720735,12.23,Thap,2,It tham nien - Khoi luong cong viec thap
128,2025-01-01,Finance,Accountant,0,0,0.13493342134705202,13.49,Thap,0,Lau nam - thang tien cham
129,2025-01-01,Sales,Account Manager,0,0,0.06906609070243903,6.91,Thap,3,Cap bac cao - thu nhap cao
130,2025-01-01,Marketing,Digital Marketing Specialist,0,0,0.1346160204426717,13.46,Thap,1,Khoi luong cong viec cao - uu tien giu chan
131,2025-01-01,Sales,Sales Executive,0,0,0.12273412635313354,12.27,Thap,3,Cap bac cao - thu nhap cao
136,2025-01-01,Sales,Sales Executive,0,0,0.05899520083172404,5.9,Thap,2,It tham nien - Khoi luong cong viec thap
138,2025-01-01,Sales,Sales Executive,0,0,0.04008248848126606,4.01,Thap,2,It tham nien - Khoi luong cong viec thap
139,2025-01-01,Sales,Sales Representative,0,0,0.12760473643276818,12.76,Thap,1,Khoi luong cong viec cao - uu tien giu chan
140,2025-01-01,Human Resources,HR Executive,0,0,0.1094119160116807,10.94,Thap,2,It tham nien - Khoi luong cong viec thap
143,2025-01-01,Operations,Procurement Specialist,0,0,0.07240980605039764,7.24,Thap,2,It tham nien - Khoi luong cong viec thap
146,2025-01-01,Finance,Internal Auditor,0,1,0.23241628502976058,23.24,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
149,2025-01-01,Human Resources,Recruiter,0,0,0.05082843011327977,5.08,Thap,2,It tham nien - Khoi luong cong viec thap
151,2025-01-01,Information Technology,Software Engineer,0,0,0.05249972397297072,5.25,Thap,3,Cap bac cao - thu nhap cao
152,2025-01-01,Human Resources,HR Manager,0,0,0.057446223569632617,5.74,Thap,2,It tham nien - Khoi luong cong viec thap
153,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.16645706236985588,16.65,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
158,2025-01-01,Information Technology,Data Analyst,0,0,0.0847153408645087,8.47,Thap,2,It tham nien - Khoi luong cong viec thap
161,2025-01-01,Sales,Sales Representative,1,0,0.13693631289421526,13.69,Thap,3,Cap bac cao - thu nhap cao
162,2025-01-01,Marketing,Content Specialist,0,0,0.14762394306016943,14.76,Thap,2,It tham nien - Khoi luong cong viec thap
166,2025-01-01,Information Technology,QA Engineer,0,1,0.1929534301632733,19.3,Trung binh,3,Cap bac cao - thu nhap cao
167,2025-01-01,Marketing,Digital Marketing Specialist,1,1,0.17972451752433208,17.97,Trung binh,2,It tham nien - Khoi luong cong viec thap
170,2025-01-01,Operations,Procurement Specialist,0,0,0.06681360411202791,6.68,Thap,3,Cap bac cao - thu nhap cao
171,2025-01-01,Sales,Sales Representative,0,1,0.22086560977589215,22.09,Trung binh,0,Lau nam - thang tien cham
175,2025-01-01,Information Technology,Data Analyst,0,0,0.06149691500592711,6.15,Thap,2,It tham nien - Khoi luong cong viec thap
176,2025-01-01,Information Technology,Software Engineer,0,0,0.09676211335384986,9.68,Thap,2,It tham nien - Khoi luong cong viec thap
178,2025-01-01,Sales,Sales Supervisor,0,0,0.09516506261614871,9.52,Thap,2,It tham nien - Khoi luong cong viec thap
180,2025-01-01,Marketing,Marketing Manager,0,0,0.035848293839260637,3.58,Thap,2,It tham nien - Khoi luong cong viec thap
181,2025-01-01,Information Technology,IT Support,0,0,0.09306741633416667,9.31,Thap,2,It tham nien - Khoi luong cong viec thap
182,2025-01-01,Sales,Sales Supervisor,0,0,0.13515311539172226,13.52,Thap,3,Cap bac cao - thu nhap cao
184,2025-01-01,Marketing,Content Specialist,0,0,0.10944055281512374,10.94,Thap,2,It tham nien - Khoi luong cong viec thap
185,2025-01-01,Marketing,Content Specialist,0,1,0.19335491792614562,19.34,Trung binh,3,Cap bac cao - thu nhap cao
187,2025-01-01,Finance,Accountant,0,0,0.05415455980748676,5.42,Thap,2,It tham nien - Khoi luong cong viec thap
189,2025-01-01,Finance,Financial Analyst,0,0,0.10485261954962802,10.49,Thap,2,It tham nien - Khoi luong cong viec thap
190,2025-01-01,Sales,Sales Representative,0,1,0.1901169023356983,19.01,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
192,2025-01-01,Operations,Procurement Specialist,0,1,0.27128439787928016,27.13,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
193,2025-01-01,Information Technology,Data Analyst,0,0,0.06876019075313808,6.88,Thap,2,It tham nien - Khoi luong cong viec thap
194,2025-01-01,Finance,Financial Analyst,0,0,0.14206368782551634,14.21,Thap,2,It tham nien - Khoi luong cong viec thap
195,2025-01-01,Information Technology,QA Engineer,0,0,0.03825342618141777,3.83,Thap,2,It tham nien - Khoi luong cong viec thap
198,2025-01-01,Finance,Finance Manager,0,0,0.11700744966628038,11.7,Thap,3,Cap bac cao - thu nhap cao
199,2025-01-01,Information Technology,IT Support,0,0,0.05395565060147304,5.4,Thap,3,Cap bac cao - thu nhap cao
200,2025-01-01,Operations,Warehouse Supervisor,0,1,0.2049851915179134,20.5,Trung binh,2,It tham nien - Khoi luong cong viec thap
201,2025-01-01,Information Technology,IT Support,0,0,0.14007236988865518,14.01,Thap,2,It tham nien - Khoi luong cong viec thap
205,2025-01-01,Operations,Operations Manager,0,0,0.056366823510630853,5.64,Thap,2,It tham nien - Khoi luong cong viec thap
206,2025-01-01,Information Technology,QA Engineer,0,0,0.04499204823998633,4.5,Thap,2,It tham nien - Khoi luong cong viec thap
210,2025-01-01,Sales,Sales Executive,0,0,0.08582684789722768,8.58,Thap,2,It tham nien - Khoi luong cong viec thap
211,2025-01-01,Finance,Financial Analyst,0,0,0.04941245981222934,4.94,Thap,0,Lau nam - thang tien cham
213,2025-01-01,Sales,Sales Supervisor,0,1,0.1816376742400392,18.16,Trung binh,2,It tham nien - Khoi luong cong viec thap
216,2025-01-01,Operations,Operations Executive,0,1,0.25558103598492715,25.56,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
218,2025-01-01,Information Technology,IT Support,0,1,0.18934225148717096,18.93,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
219,2025-01-01,Finance,Internal Auditor,0,1,0.3541288214513698,35.41,Cao,3,Cap bac cao - thu nhap cao
222,2025-01-01,Sales,Sales Executive,0,0,0.1318592638385296,13.19,Thap,1,Khoi luong cong viec cao - uu tien giu chan
223,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.21756821428256157,21.76,Trung binh,0,Lau nam - thang tien cham
224,2025-01-01,Operations,Warehouse Supervisor,0,1,0.22697449105766157,22.7,Trung binh,0,Lau nam - thang tien cham
228,2025-01-01,Information Technology,Data Analyst,0,0,0.1128954341840087,11.29,Thap,3,Cap bac cao - thu nhap cao
229,2025-01-01,Human Resources,C&B Specialist,0,0,0.15063683986227722,15.06,Thap,1,Khoi luong cong viec cao - uu tien giu chan
233,2025-01-01,Sales,Account Manager,0,1,0.1709543009613141,17.1,Trung binh,3,Cap bac cao - thu nhap cao
234,2025-01-01,Finance,Accountant,0,1,0.22234923887632108,22.23,Trung binh,3,Cap bac cao - thu nhap cao
236,2025-01-01,Marketing,Content Specialist,0,0,0.09375901430717226,9.38,Thap,3,Cap bac cao - thu nhap cao
237,2025-01-01,Operations,Operations Manager,1,1,0.3604754846273914,36.05,Cao,1,Khoi luong cong viec cao - uu tien giu chan
238,2025-01-01,Human Resources,HR Manager,0,0,0.14600265662759856,14.6,Thap,0,Lau nam - thang tien cham
241,2025-01-01,Finance,Internal Auditor,0,1,0.16980165409877238,16.98,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
244,2025-01-01,Marketing,Marketing Executive,1,1,0.2637640147664073,26.38,Trung binh,3,Cap bac cao - thu nhap cao
245,2025-01-01,Finance,Finance Manager,0,0,0.08012472758270227,8.01,Thap,3,Cap bac cao - thu nhap cao
249,2025-01-01,Marketing,Marketing Executive,0,0,0.03732691639589357,3.73,Thap,2,It tham nien - Khoi luong cong viec thap
250,2025-01-01,Marketing,Marketing Executive,1,1,0.19604341606042736,19.6,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
252,2025-01-01,Information Technology,Data Analyst,0,0,0.10137103614146205,10.14,Thap,2,It tham nien - Khoi luong cong viec thap
253,2025-01-01,Sales,Sales Representative,0,0,0.09268307198189844,9.27,Thap,0,Lau nam - thang tien cham
255,2025-01-01,Sales,Sales Executive,1,0,0.11394959477774581,11.39,Thap,1,Khoi luong cong viec cao - uu tien giu chan
257,2025-01-01,Sales,Sales Executive,0,0,0.0725568528183739,7.26,Thap,2,It tham nien - Khoi luong cong viec thap
259,2025-01-01,Sales,Sales Representative,0,0,0.12617293838398072,12.62,Thap,1,Khoi luong cong viec cao - uu tien giu chan
262,2025-01-01,Operations,Operations Manager,1,0,0.10862472921902612,10.86,Thap,2,It tham nien - Khoi luong cong viec thap
268,2025-01-01,Information Technology,QA Engineer,0,0,0.09669194366822582,9.67,Thap,2,It tham nien - Khoi luong cong viec thap
272,2025-01-01,Sales,Account Manager,0,1,0.20444892388301483,20.44,Trung binh,0,Lau nam - thang tien cham
273,2025-01-01,Human Resources,Recruiter,0,0,0.040010232864141265,4.0,Thap,2,It tham nien - Khoi luong cong viec thap
275,2025-01-01,Information Technology,IT Support,0,0,0.07156363227293737,7.16,Thap,2,It tham nien - Khoi luong cong viec thap
277,2025-01-01,Operations,Operations Manager,0,0,0.10386117536366342,10.39,Thap,3,Cap bac cao - thu nhap cao
278,2025-01-01,Marketing,Marketing Manager,0,0,0.11365474491953007,11.37,Thap,0,Lau nam - thang tien cham
282,2025-01-01,Marketing,Marketing Manager,0,0,0.1572365757979444,15.72,Thap,2,It tham nien - Khoi luong cong viec thap
284,2025-01-01,Finance,Finance Manager,0,0,0.1567743840744178,15.68,Thap,0,Lau nam - thang tien cham
285,2025-01-01,Finance,Financial Analyst,0,1,0.27024738057853936,27.02,Trung binh,3,Cap bac cao - thu nhap cao
286,2025-01-01,Sales,Account Manager,0,0,0.042830292591635635,4.28,Thap,0,Lau nam - thang tien cham
288,2025-01-01,Sales,Sales Executive,0,0,0.0727878339976421,7.28,Thap,2,It tham nien - Khoi luong cong viec thap
289,2025-01-01,Human Resources,Recruiter,0,0,0.0,0.0,Thap,2,It tham nien - Khoi luong cong viec thap
290,2025-01-01,Information Technology,QA Engineer,1,1,0.21222290555919493,21.22,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
296,2025-01-01,Finance,Financial Analyst,0,0,0.040589094149594385,4.06,Thap,2,It tham nien - Khoi luong cong viec thap
298,2025-01-01,Human Resources,HR Manager,0,1,0.17734784783680027,17.73,Trung binh,2,It tham nien - Khoi luong cong viec thap
299,2025-01-01,Marketing,Marketing Manager,0,0,0.09194650160685022,9.19,Thap,2,It tham nien - Khoi luong cong viec thap
302,2025-01-01,Operations,Operations Manager,1,1,0.3015301082820809,30.15,Cao,1,Khoi luong cong viec cao - uu tien giu chan
304,2025-01-01,Information Technology,Data Analyst,0,0,0.1386385221245847,13.86,Thap,0,Lau nam - thang tien cham
309,2025-01-01,Operations,Operations Executive,1,1,0.2943731705577607,29.44,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
310,2025-01-01,Marketing,Content Specialist,0,1,0.17954956683393325,17.95,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
311,2025-01-01,Marketing,Marketing Manager,0,1,0.2511957530636399,25.12,Trung binh,0,Lau nam - thang tien cham
314,2025-01-01,Human Resources,Recruiter,0,0,0.12851454944073246,12.85,Thap,3,Cap bac cao - thu nhap cao
321,2025-01-01,Information Technology,System Administrator,0,0,0.07316032626182385,7.32,Thap,2,It tham nien - Khoi luong cong viec thap
323,2025-01-01,Operations,Warehouse Supervisor,0,1,0.2143708945840694,21.44,Trung binh,2,It tham nien - Khoi luong cong viec thap
330,2025-01-01,Information Technology,System Administrator,0,0,0.032133388201654255,3.21,Thap,1,Khoi luong cong viec cao - uu tien giu chan
331,2025-01-01,Marketing,Marketing Executive,0,1,0.287870775045776,28.79,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
332,2025-01-01,Operations,Operations Manager,0,0,0.10978808042842561,10.98,Thap,3,Cap bac cao - thu nhap cao
335,2025-01-01,Information Technology,Data Analyst,0,1,0.17507410082889535,17.51,Trung binh,2,It tham nien - Khoi luong cong viec thap
338,2025-01-01,Marketing,Marketing Manager,0,0,0.07791831667951542,7.79,Thap,1,Khoi luong cong viec cao - uu tien giu chan
339,2025-01-01,Finance,Finance Manager,0,1,0.16990764155495178,16.99,Trung binh,2,It tham nien - Khoi luong cong viec thap
341,2025-01-01,Information Technology,Data Analyst,0,0,0.0968783478831182,9.69,Thap,2,It tham nien - Khoi luong cong viec thap
346,2025-01-01,Sales,Sales Supervisor,0,1,0.23626435932390555,23.63,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
347,2025-01-01,Marketing,Digital Marketing Specialist,0,0,0.03599860018636762,3.6,Thap,2,It tham nien - Khoi luong cong viec thap
351,2025-01-01,Finance,Financial Analyst,0,1,0.3385641743501896,33.86,Cao,1,Khoi luong cong viec cao - uu tien giu chan
353,2025-01-01,Sales,Sales Executive,0,0,0.021567266687900148,2.16,Thap,2,It tham nien - Khoi luong cong viec thap
354,2025-01-01,Sales,Sales Representative,0,0,0.06934350986019061,6.93,Thap,1,Khoi luong cong viec cao - uu tien giu chan
356,2025-01-01,Information Technology,Data Analyst,0,0,0.10386628235243989,10.39,Thap,2,It tham nien - Khoi luong cong viec thap
365,2025-01-01,Information Technology,Software Engineer,0,0,0.0769776929775834,7.7,Thap,2,It tham nien - Khoi luong cong viec thap
366,2025-01-01,Operations,Operations Executive,0,1,0.24317200885999962,24.32,Trung binh,2,It tham nien - Khoi luong cong viec thap
367,2025-01-01,Marketing,Content Specialist,0,1,0.1850879591244757,18.51,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
368,2025-01-01,Operations,Warehouse Supervisor,0,1,0.1716004106387546,17.16,Trung binh,2,It tham nien - Khoi luong cong viec thap
371,2025-01-01,Marketing,Content Specialist,0,0,0.02008226941185759,2.01,Thap,0,Lau nam - thang tien cham
372,2025-01-01,Finance,Financial Analyst,0,1,0.19220193682217085,19.22,Trung binh,3,Cap bac cao - thu nhap cao
374,2025-01-01,Sales,Sales Representative,0,0,0.1126670644180409,11.27,Thap,2,It tham nien - Khoi luong cong viec thap
378,2025-01-01,Human Resources,HR Executive,0,0,0.053982283766992864,5.4,Thap,3,Cap bac cao - thu nhap cao
379,2025-01-01,Finance,Internal Auditor,0,0,0.1353905756457976,13.54,Thap,2,It tham nien - Khoi luong cong viec thap
380,2025-01-01,Finance,Financial Analyst,0,0,0.15245820048961092,15.25,Thap,2,It tham nien - Khoi luong cong viec thap
384,2025-01-01,Human Resources,Recruiter,0,0,0.11859479151658893,11.86,Thap,1,Khoi luong cong viec cao - uu tien giu chan
385,2025-01-01,Operations,Warehouse Supervisor,0,0,0.09161273360475354,9.16,Thap,0,Lau nam - thang tien cham
387,2025-01-01,Operations,Warehouse Supervisor,0,0,0.1582955473537033,15.83,Thap,2,It tham nien - Khoi luong cong viec thap
388,2025-01-01,Human Resources,HR Manager,0,0,0.128001927259835,12.8,Thap,2,It tham nien - Khoi luong cong viec thap
389,2025-01-01,Marketing,Content Specialist,0,0,0.1542972602676029,15.43,Thap,1,Khoi luong cong viec cao - uu tien giu chan
391,2025-01-01,Information Technology,IT Support,0,1,0.16535925744225685,16.54,Trung binh,3,Cap bac cao - thu nhap cao
394,2025-01-01,Finance,Financial Analyst,0,0,0.12392806352253881,12.39,Thap,1,Khoi luong cong viec cao - uu tien giu chan
395,2025-01-01,Human Resources,Recruiter,1,1,0.16581338144256444,16.58,Trung binh,0,Lau nam - thang tien cham
402,2025-01-01,Sales,Sales Representative,0,0,0.03877645407701865,3.88,Thap,3,Cap bac cao - thu nhap cao
405,2025-01-01,Information Technology,Software Engineer,0,0,0.09190863741397115,9.19,Thap,3,Cap bac cao - thu nhap cao
406,2025-01-01,Human Resources,C&B Specialist,0,0,0.1022816230408323,10.23,Thap,2,It tham nien - Khoi luong cong viec thap
408,2025-01-01,Operations,Operations Manager,0,1,0.18043317593019798,18.04,Trung binh,2,It tham nien - Khoi luong cong viec thap
411,2025-01-01,Human Resources,HR Manager,0,0,0.10528444779242545,10.53,Thap,3,Cap bac cao - thu nhap cao
413,2025-01-01,Human Resources,HR Manager,0,0,0.06493532328441023,6.49,Thap,2,It tham nien - Khoi luong cong viec thap
414,2025-01-01,Sales,Sales Executive,0,0,0.15145817289821772,15.15,Thap,0,Lau nam - thang tien cham
418,2025-01-01,Information Technology,Software Engineer,0,0,0.07709562857099794,7.71,Thap,2,It tham nien - Khoi luong cong viec thap
419,2025-01-01,Finance,Internal Auditor,0,0,0.15575554990100873,15.58,Thap,2,It tham nien - Khoi luong cong viec thap
423,2025-01-01,Finance,Internal Auditor,0,0,0.10187477243389229,10.19,Thap,2,It tham nien - Khoi luong cong viec thap
424,2025-01-01,Marketing,Marketing Executive,0,0,0.07169850329831237,7.17,Thap,2,It tham nien - Khoi luong cong viec thap
431,2025-01-01,Finance,Financial Analyst,0,0,0.1421020311103157,14.21,Thap,2,It tham nien - Khoi luong cong viec thap
433,2025-01-01,Sales,Sales Supervisor,0,0,0.14232717774961906,14.23,Thap,2,It tham nien - Khoi luong cong viec thap
434,2025-01-01,Human Resources,Recruiter,0,1,0.20704158846550705,20.7,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
435,2025-01-01,Finance,Internal Auditor,0,0,0.11850231462310787,11.85,Thap,2,It tham nien - Khoi luong cong viec thap
436,2025-01-01,Sales,Account Manager,0,1,0.31964985873127916,31.96,Cao,1,Khoi luong cong viec cao - uu tien giu chan
437,2025-01-01,Finance,Accountant,0,1,0.18844360381114542,18.84,Trung binh,3,Cap bac cao - thu nhap cao
438,2025-01-01,Marketing,Digital Marketing Specialist,0,0,0.07893979293423242,7.89,Thap,0,Lau nam - thang tien cham
444,2025-01-01,Human Resources,C&B Specialist,0,1,0.21623839643455572,21.62,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
447,2025-01-01,Marketing,Marketing Manager,0,0,0.14620525169402884,14.62,Thap,0,Lau nam - thang tien cham
448,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.22195586082700497,22.2,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
450,2025-01-01,Marketing,Content Specialist,0,0,0.1289193138681628,12.89,Thap,3,Cap bac cao - thu nhap cao
451,2025-01-01,Marketing,Content Specialist,1,1,0.19320531149910428,19.32,Trung binh,3,Cap bac cao - thu nhap cao
454,2025-01-01,Information Technology,QA Engineer,0,1,0.16282331607630882,16.28,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
459,2025-01-01,Information Technology,IT Support,0,1,0.19312123176083773,19.31,Trung binh,2,It tham nien - Khoi luong cong viec thap
460,2025-01-01,Marketing,Digital Marketing Specialist,0,1,0.16645495264397173,16.65,Trung binh,0,Lau nam - thang tien cham
464,2025-01-01,Information Technology,Software Engineer,0,0,0.15014184244709192,15.01,Thap,3,Cap bac cao - thu nhap cao
467,2025-01-01,Finance,Financial Analyst,0,0,0.15389173188333824,15.39,Thap,0,Lau nam - thang tien cham
469,2025-01-01,Sales,Sales Supervisor,0,1,0.1978367585870876,19.78,Trung binh,0,Lau nam - thang tien cham
477,2025-01-01,Sales,Sales Representative,0,0,0.03313375429521395,3.31,Thap,2,It tham nien - Khoi luong cong viec thap
479,2025-01-01,Information Technology,QA Engineer,0,0,0.10806521910860696,10.81,Thap,2,It tham nien - Khoi luong cong viec thap
480,2025-01-01,Information Technology,QA Engineer,0,0,0.052536888512901316,5.25,Thap,2,It tham nien - Khoi luong cong viec thap
481,2025-01-01,Human Resources,HR Executive,0,1,0.188285372441967,18.83,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
482,2025-01-01,Human Resources,Recruiter,1,1,0.24797270640661775,24.8,Trung binh,1,Khoi luong cong viec cao - uu tien giu chan
483,2025-01-01,Information Technology,Software Engineer,0,1,0.302142191073457,30.21,Cao,1,Khoi luong cong viec cao - uu tien giu chan
488,2025-01-01,Operations,Operations Executive,0,1,0.19162835017570504,19.16,Trung binh,2,It tham nien - Khoi luong cong viec thap
489,2025-01-01,Information Technology,Software Engineer,0,0,0.08000150277415159,8.0,Thap,2,It tham nien - Khoi luong cong viec thap
490,2025-01-01,Finance,Internal Auditor,0,0,0.15735564865183102,15.74,Thap,2,It tham nien - Khoi luong cong viec thap
